schema_version,row_scope,experiment_id,machine_id,architecture,source_commit,source_dirty,dataset_manifest_sha256,randomization_seed,measurement_method,measurement_tool_sha256,split,raw_jsonl_sha256,run_metadata_sha256,ablation_catalog_sha256,profile,threads,dataset_id,input_path,input_sha256,original_bytes,baseline_codec,baseline_codec_config,baseline_config_sha256,baseline_runtime_profile_sha256,baseline_executable_sha256,ablated_codec,ablated_codec_config,ablated_config_sha256,ablated_runtime_profile_sha256,ablated_executable_sha256,ablation_id,disabled_algorithms,delta_direction,expected_repetitions,expected_trial_pairs,baseline_rows,ablated_rows,baseline_successes,ablated_successes,paired_repetitions,paired_successes,missing_baseline_repetitions,missing_ablated_repetitions,failed_pairs,timeout_pairs,unavailable_pairs,schedule_mismatch_pairs,baseline_status,ablated_status,pairing_status,roundtrip_status,determinism_status,protocol_status,confidence_status,ci_method,bootstrap_replicates,bootstrap_seed,baseline_archive_bytes_mean,baseline_archive_bytes_median,ablated_archive_bytes_mean,ablated_archive_bytes_median,paired_archive_bytes_delta_mean,paired_archive_bytes_delta_median,paired_archive_bytes_delta_ci95_low,paired_archive_bytes_delta_ci95_high,paired_archive_bytes_delta_percent_mean,paired_archive_bytes_delta_percent_ci95_low,paired_archive_bytes_delta_percent_ci95_high,bootstrap_archive_bytes_delta_ci95_low,bootstrap_archive_bytes_delta_ci95_high,bootstrap_archive_bytes_delta_percent_ci95_low,bootstrap_archive_bytes_delta_percent_ci95_high,baseline_compression_wall_ns_mean,baseline_compression_wall_ns_median,ablated_compression_wall_ns_mean,ablated_compression_wall_ns_median,paired_compression_wall_ns_delta_mean,paired_compression_wall_ns_delta_median,paired_compression_wall_ns_delta_ci95_low,paired_compression_wall_ns_delta_ci95_high,paired_compression_wall_ns_delta_percent_mean,paired_compression_wall_ns_delta_percent_ci95_low,paired_compression_wall_ns_delta_percent_ci95_high,bootstrap_compression_wall_ns_delta_ci95_low,bootstrap_compression_wall_ns_delta_ci95_high,bootstrap_compression_wall_ns_delta_percent_ci95_low,bootstrap_compression_wall_ns_delta_percent_ci95_high,baseline_decompression_wall_ns_mean,baseline_decompression_wall_ns_median,ablated_decompression_wall_ns_mean,ablated_decompression_wall_ns_median,paired_decompression_wall_ns_delta_mean,paired_decompression_wall_ns_delta_median,paired_decompression_wall_ns_delta_ci95_low,paired_decompression_wall_ns_delta_ci95_high,paired_decompression_wall_ns_delta_percent_mean,paired_decompression_wall_ns_delta_percent_ci95_low,paired_decompression_wall_ns_delta_percent_ci95_high,bootstrap_decompression_wall_ns_delta_ci95_low,bootstrap_decompression_wall_ns_delta_ci95_high,bootstrap_decompression_wall_ns_delta_percent_ci95_low,bootstrap_decompression_wall_ns_delta_percent_ci95_high,baseline_peak_rss_bytes_mean,baseline_peak_rss_bytes_median,ablated_peak_rss_bytes_mean,ablated_peak_rss_bytes_median,paired_peak_rss_bytes_delta_mean,paired_peak_rss_bytes_delta_median,paired_peak_rss_bytes_delta_ci95_low,paired_peak_rss_bytes_delta_ci95_high,paired_peak_rss_bytes_delta_percent_mean,paired_peak_rss_bytes_delta_percent_ci95_low,paired_peak_rss_bytes_delta_percent_ci95_high,bootstrap_peak_rss_bytes_delta_ci95_low,bootstrap_peak_rss_bytes_delta_ci95_high,bootstrap_peak_rss_bytes_delta_percent_ci95_low,bootstrap_peak_rss_bytes_delta_percent_ci95_high,decision_status,decision_evidence,failure_reasons
1,file,development-interval-pruning-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,true,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,98d17241e915f764a4bca7fd8ee02bccb3ffccaf9b960288fb8975f56b75da3f,16bb39924ec8bb5b2f96a8c15f051fe6218c2353cbe73c436999ff410eb0292d,3cbfd95e79cbcb61fc2d120a83c22951e5b60acc6970b2b6b7f0efe363b84761,balanced,1,dev-canterbury-alice29-txt,datasets/data/canterbury/alice29.txt,7467306ee0feed4971260f3c87421154a05be571d944e9cb021a5713700c38f0,152089,mathsvg,balanced-v1,d2bdf155e2ca61aec8e4606a339cbf55d98ca3a3f7fc409c66689d081442d088,6e854b903ec1291c0a51affff566a6f38eb6058511989ceddda6b5a3bb66b27e,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,mathsvg,balanced-ablation-no-interval-functions-or-coordinate-v1,be08a05aa9a3bf9503587f79879c0032a9ef256a88134ad82994682b0ea49410,8112663593584a9b011a8a158985b40d95a77225b32db7299cdf80f1958da695,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,no-interval-functions-or-coordinate,interval-functions;coordinates,ablated_minus_enabled,10,10,10,10,10,10,10,10,0,0,0,0,0,0,ok,ok,complete,pass,pass,complete,confirmed,paired-repetition-student-t,,,73860,73860,73860,73860,0,0,0,0,0,0,0,,,,,1190208111.9000001,1177935143.5,268319523.30000001,268139039,-921888588.60000002,-910836586.5,-939481535.88095605,-904295641.31904399,-77.446651444038352,-77.845592563506429,-77.047710324570275,,,,,67677389.599999994,65469456.5,70777714.200000003,65355816,3100324.6000000001,-106736.5,-9019097.1893325467,15219746.389332546,5.0670642377886681,-13.273855479464881,23.407983955042216,,,,,6327091.2000000002,6324224,6321766.4000000004,6322176,-5324.8000000000002,2048,-54778.498089249428,44128.898089249422,-0.079137688316369442,-0.85832228933050114,0.7000469126977622,,,,,size-effect-inconclusive,"delta=ablated-minus-enabled; size_delta_bytes=0.0; compression_wall_ns_delta_percent=-77.44665144403835; decompression_wall_ns_delta_percent=5.067064237788668; peak_rss_bytes_delta_percent=-0.07913768831636944; conservative_size_ci95=[0.0,0.0]",
1,file,development-interval-pruning-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,true,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,98d17241e915f764a4bca7fd8ee02bccb3ffccaf9b960288fb8975f56b75da3f,16bb39924ec8bb5b2f96a8c15f051fe6218c2353cbe73c436999ff410eb0292d,3cbfd95e79cbcb61fc2d120a83c22951e5b60acc6970b2b6b7f0efe363b84761,balanced,1,dev-canterbury-kennedy-xls,datasets/data/canterbury/kennedy.xls,9af47239ca29dfe20e633f80bbbb9a4cc9783d0803d7b2b5626f42e4c3790420,1029744,mathsvg,balanced-v1,d2bdf155e2ca61aec8e4606a339cbf55d98ca3a3f7fc409c66689d081442d088,6e854b903ec1291c0a51affff566a6f38eb6058511989ceddda6b5a3bb66b27e,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,mathsvg,balanced-ablation-no-interval-functions-or-coordinate-v1,be08a05aa9a3bf9503587f79879c0032a9ef256a88134ad82994682b0ea49410,8112663593584a9b011a8a158985b40d95a77225b32db7299cdf80f1958da695,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,no-interval-functions-or-coordinate,interval-functions;coordinates,ablated_minus_enabled,10,10,10,10,10,10,10,10,0,0,0,0,0,0,ok,ok,complete,pass,pass,complete,confirmed,paired-repetition-student-t,,,243978,243978,243978,243978,0,0,0,0,0,0,0,,,,,1217687489.0999999,1220730169.5,847485633.20000005,849780757,-370201855.89999998,-372977974,-393200718.92832303,-347202992.87167692,-30.386468529788196,-32.124856073402761,-28.648080986173632,,,,,167819046.5,166901384,161509571.19999999,166026243,-6309475.2999999998,-1614819,-17160227.896350384,4541277.2963503832,-3.7572913562321539,-10.278679390250899,2.7640966777865903,,,,,20611072,20609024,20604518.399999999,20602880,-6553.6000000000004,0,-49173.299199999994,36066.099199999997,-0.031494066585819297,-0.23800893503310039,0.17502080186146179,,,,,size-effect-inconclusive,"delta=ablated-minus-enabled; size_delta_bytes=0.0; compression_wall_ns_delta_percent=-30.386468529788196; decompression_wall_ns_delta_percent=-3.757291356232154; peak_rss_bytes_delta_percent=-0.0314940665858193; conservative_size_ci95=[0.0,0.0]",
1,file,development-interval-pruning-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,true,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,98d17241e915f764a4bca7fd8ee02bccb3ffccaf9b960288fb8975f56b75da3f,16bb39924ec8bb5b2f96a8c15f051fe6218c2353cbe73c436999ff410eb0292d,3cbfd95e79cbcb61fc2d120a83c22951e5b60acc6970b2b6b7f0efe363b84761,balanced,1,dev-silesia-x-ray,datasets/data/silesia/x-ray,7de9fce1405dc44ae5e6813ed21cd5751e761bd4265655a005d39b9685d1c9ad,8474240,mathsvg,balanced-v1,d2bdf155e2ca61aec8e4606a339cbf55d98ca3a3f7fc409c66689d081442d088,6e854b903ec1291c0a51affff566a6f38eb6058511989ceddda6b5a3bb66b27e,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,mathsvg,balanced-ablation-no-interval-functions-or-coordinate-v1,be08a05aa9a3bf9503587f79879c0032a9ef256a88134ad82994682b0ea49410,8112663593584a9b011a8a158985b40d95a77225b32db7299cdf80f1958da695,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,no-interval-functions-or-coordinate,interval-functions;coordinates,ablated_minus_enabled,10,10,10,10,10,10,10,10,0,0,0,0,0,0,ok,ok,complete,pass,pass,complete,confirmed,paired-repetition-student-t,,,6801499,6801499,6801499,6801499,0,0,0,0,0,0,0,,,,,16573924613.4,16565566796.5,13142914349.6,13101575999.5,-3431010263.8000002,-3427983730,-3533422233.9956703,-3328598293.6043301,-20.698284349854436,-21.247163969267657,-20.149404730441216,,,,,2043185835.4000001,2031733693,2062041630.7,2051243204,18855795.300000001,19090008,-14618194.778621435,52329785.378621437,0.93208733060877069,-0.70198156181836646,2.5661562230359078,,,,,26915225.600000001,26923008,26499891.199999999,26525696,-415334.40000000002,-395264,-490910.8859240301,-339757.91407596995,-1.5426051981860089,-1.8214531134333209,-1.2637572829386969,,,,,size-effect-inconclusive,"delta=ablated-minus-enabled; size_delta_bytes=0.0; compression_wall_ns_delta_percent=-20.698284349854436; decompression_wall_ns_delta_percent=0.9320873306087707; peak_rss_bytes_delta_percent=-1.542605198186009; conservative_size_ci95=[0.0,0.0]",
1,file,development-interval-pruning-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,true,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,98d17241e915f764a4bca7fd8ee02bccb3ffccaf9b960288fb8975f56b75da3f,16bb39924ec8bb5b2f96a8c15f051fe6218c2353cbe73c436999ff410eb0292d,3cbfd95e79cbcb61fc2d120a83c22951e5b60acc6970b2b6b7f0efe363b84761,balanced,1,dev-synthetic-constant-00,datasets/synthetic/constant_00/s0000065536_n000p000_seed1297748005.bin,de2f256064a0af797747c2b97505dc0b9f3df0de4f489eac731c23ae9ca9cc31,65536,mathsvg,balanced-v1,d2bdf155e2ca61aec8e4606a339cbf55d98ca3a3f7fc409c66689d081442d088,6e854b903ec1291c0a51affff566a6f38eb6058511989ceddda6b5a3bb66b27e,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,mathsvg,balanced-ablation-no-interval-functions-or-coordinate-v1,be08a05aa9a3bf9503587f79879c0032a9ef256a88134ad82994682b0ea49410,8112663593584a9b011a8a158985b40d95a77225b32db7299cdf80f1958da695,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,no-interval-functions-or-coordinate,interval-functions;coordinates,ablated_minus_enabled,10,10,10,10,10,10,10,10,0,0,0,0,0,0,ok,ok,complete,pass,pass,complete,confirmed,paired-repetition-student-t,,,485,485,485,485,0,0,0,0,0,0,0,,,,,222277165.5,216634015.5,37572688.399999999,34573238,-184704477.09999999,-183005150,-188915449.56128418,-180493504.6387158,-83.285008679867445,-85.403406380883325,-81.166610978851566,,,,,11289368.199999999,9352628.5,12144772.699999999,11113830,855404.5,775477,-3488927.7782224156,5199736.7782224156,18.739052945019246,-19.223716228895739,56.701822118934231,,,,,4608000,4595712,4505600,4503552,-102400,-98304,-137936.55192678061,-66863.448073219392,-2.2153141312564695,-2.9729335591145682,-1.4576947033983707,,,,,size-effect-inconclusive,"delta=ablated-minus-enabled; size_delta_bytes=0.0; compression_wall_ns_delta_percent=-83.28500867986745; decompression_wall_ns_delta_percent=18.739052945019246; peak_rss_bytes_delta_percent=-2.2153141312564695; conservative_size_ci95=[0.0,0.0]",
1,file,development-interval-pruning-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,true,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,98d17241e915f764a4bca7fd8ee02bccb3ffccaf9b960288fb8975f56b75da3f,16bb39924ec8bb5b2f96a8c15f051fe6218c2353cbe73c436999ff410eb0292d,3cbfd95e79cbcb61fc2d120a83c22951e5b60acc6970b2b6b7f0efe363b84761,balanced,1,dev-synthetic-lfsr8,datasets/synthetic/lfsr8/s0000065536_n000p000_seed1297748005.bin,c22f599374ecb687cb2737130592553d274b26414a1c37bb1d36a02a3e7cdb64,65536,mathsvg,balanced-v1,d2bdf155e2ca61aec8e4606a339cbf55d98ca3a3f7fc409c66689d081442d088,6e854b903ec1291c0a51affff566a6f38eb6058511989ceddda6b5a3bb66b27e,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,mathsvg,balanced-ablation-no-interval-functions-or-coordinate-v1,be08a05aa9a3bf9503587f79879c0032a9ef256a88134ad82994682b0ea49410,8112663593584a9b011a8a158985b40d95a77225b32db7299cdf80f1958da695,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,no-interval-functions-or-coordinate,interval-functions;coordinates,ablated_minus_enabled,10,10,10,10,10,10,10,10,0,0,0,0,0,0,ok,ok,complete,pass,pass,complete,confirmed,paired-repetition-student-t,,,753,753,753,753,0,0,0,0,0,0,0,,,,,267099382.90000001,266806637,35127682,35493018,-231971700.90000001,-231974369,-233119734.49585396,-230823667.30414605,-86.84891604465173,-87.209588142426384,-86.488243946877077,,,,,11334929.800000001,9002154,13470372.300000001,12713815.5,2135442.5,2656771.5,-2456543.3495013276,6727428.3495013276,32.730876026241717,-8.5042549715978097,73.96600702408125,,,,,4641177.5999999996,4659200,4537958.4000000004,4538368,-103219.2,-104448,-155953.75245532393,-50484.647544676074,-2.2085183021079735,-3.349171402034675,-1.067865202181272,,,,,size-effect-inconclusive,"delta=ablated-minus-enabled; size_delta_bytes=0.0; compression_wall_ns_delta_percent=-86.84891604465173; decompression_wall_ns_delta_percent=32.73087602624172; peak_rss_bytes_delta_percent=-2.2085183021079735; conservative_size_ci95=[0.0,0.0]",
1,file,development-interval-pruning-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,true,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,98d17241e915f764a4bca7fd8ee02bccb3ffccaf9b960288fb8975f56b75da3f,16bb39924ec8bb5b2f96a8c15f051fe6218c2353cbe73c436999ff410eb0292d,3cbfd95e79cbcb61fc2d120a83c22951e5b60acc6970b2b6b7f0efe363b84761,balanced,1,dev-synthetic-linear,datasets/synthetic/linear/s0000065536_n000p000_seed1297748005.bin,35171a3b38d84c658143e78203683076d07beca32140221055c899b2dcf1cbc5,65536,mathsvg,balanced-v1,d2bdf155e2ca61aec8e4606a339cbf55d98ca3a3f7fc409c66689d081442d088,6e854b903ec1291c0a51affff566a6f38eb6058511989ceddda6b5a3bb66b27e,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,mathsvg,balanced-ablation-no-interval-functions-or-coordinate-v1,be08a05aa9a3bf9503587f79879c0032a9ef256a88134ad82994682b0ea49410,8112663593584a9b011a8a158985b40d95a77225b32db7299cdf80f1958da695,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,no-interval-functions-or-coordinate,interval-functions;coordinates,ablated_minus_enabled,10,10,10,10,10,10,10,10,0,0,0,0,0,0,ok,ok,complete,pass,pass,complete,confirmed,paired-repetition-student-t,,,489,489,489,489,0,0,0,0,0,0,0,,,,,267486142.80000001,267265308.5,40690536.799999997,34241487.5,-226795606,-232594867,-235937077.94254798,-217654134.05745202,-84.795929138154037,-88.297215607125224,-81.294642669182849,,,,,16227892.699999999,17251982,14729015,16928729.5,-1498877.7,-652319.5,-5841203.778654011,2843448.3786540106,-4.0859981516085604,-34.830054535896529,26.658058232679409,,,,,4699340.7999999998,4698112,4533862.4000000004,4538368,-165478.39999999999,-186368,-208008.48661304743,-122948.31338695258,-3.5128559453970984,-4.4032931988317516,-2.6224186919624453,,,,,size-effect-inconclusive,"delta=ablated-minus-enabled; size_delta_bytes=0.0; compression_wall_ns_delta_percent=-84.79592913815404; decompression_wall_ns_delta_percent=-4.08599815160856; peak_rss_bytes_delta_percent=-3.5128559453970984; conservative_size_ci95=[0.0,0.0]",
1,file,development-interval-pruning-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,true,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,98d17241e915f764a4bca7fd8ee02bccb3ffccaf9b960288fb8975f56b75da3f,16bb39924ec8bb5b2f96a8c15f051fe6218c2353cbe73c436999ff410eb0292d,3cbfd95e79cbcb61fc2d120a83c22951e5b60acc6970b2b6b7f0efe363b84761,balanced,1,dev-synthetic-periodic,datasets/synthetic/periodic/s0000065536_n000p000_seed1297748005.bin,742efc49d53b0f51b7a9cdc8afdf6fb69b22e359571f016274fae0b527f1d1c8,65536,mathsvg,balanced-v1,d2bdf155e2ca61aec8e4606a339cbf55d98ca3a3f7fc409c66689d081442d088,6e854b903ec1291c0a51affff566a6f38eb6058511989ceddda6b5a3bb66b27e,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,mathsvg,balanced-ablation-no-interval-functions-or-coordinate-v1,be08a05aa9a3bf9503587f79879c0032a9ef256a88134ad82994682b0ea49410,8112663593584a9b011a8a158985b40d95a77225b32db7299cdf80f1958da695,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,no-interval-functions-or-coordinate,interval-functions;coordinates,ablated_minus_enabled,10,10,10,10,10,10,10,10,0,0,0,0,0,0,ok,ok,complete,pass,pass,complete,confirmed,paired-repetition-student-t,,,494,494,494,494,0,0,0,0,0,0,0,,,,,226974263.09999999,217479933,33971225.700000003,34082953.5,-193003037.40000001,-183152934.5,-208163264.17174688,-177842810.62825313,-84.926760320502893,-85.864699243454098,-83.988821397551689,,,,,11470712.199999999,10342451.5,11337665.800000001,9202739.5,-133046.39999999999,-7059.5,-3060775.3381509325,2794682.5381509326,1.7214480640580845,-20.693071592497557,24.135967720613724,,,,,4616192,4610048,4529356.7999999998,4519936,-86835.199999999997,-79872,-140127.50094674405,-33542.899053255933,-1.8640938432602101,-3.0001579415719326,-0.7280297449484876,,,,,size-effect-inconclusive,"delta=ablated-minus-enabled; size_delta_bytes=0.0; compression_wall_ns_delta_percent=-84.9267603205029; decompression_wall_ns_delta_percent=1.7214480640580845; peak_rss_bytes_delta_percent=-1.86409384326021; conservative_size_ci95=[0.0,0.0]",
1,file,development-interval-pruning-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,true,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,98d17241e915f764a4bca7fd8ee02bccb3ffccaf9b960288fb8975f56b75da3f,16bb39924ec8bb5b2f96a8c15f051fe6218c2353cbe73c436999ff410eb0292d,3cbfd95e79cbcb61fc2d120a83c22951e5b60acc6970b2b6b7f0efe363b84761,balanced,1,dev-synthetic-piecewise-mixed,datasets/synthetic/piecewise_mixed/s0000065536_n000p000_seed1297748005.bin,38b3dc136b580000e98f02e075e2afc2aaa55e824df172b419522b9d70abe9ea,65536,mathsvg,balanced-v1,d2bdf155e2ca61aec8e4606a339cbf55d98ca3a3f7fc409c66689d081442d088,6e854b903ec1291c0a51affff566a6f38eb6058511989ceddda6b5a3bb66b27e,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,mathsvg,balanced-ablation-no-interval-functions-or-coordinate-v1,be08a05aa9a3bf9503587f79879c0032a9ef256a88134ad82994682b0ea49410,8112663593584a9b011a8a158985b40d95a77225b32db7299cdf80f1958da695,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,no-interval-functions-or-coordinate,interval-functions;coordinates,ablated_minus_enabled,10,10,10,10,10,10,10,10,0,0,0,0,0,0,ok,ok,complete,pass,pass,complete,confirmed,paired-repetition-student-t,,,13203,13203,13203,13203,0,0,0,0,0,0,0,,,,,267411285.59999999,267255266,37849964.200000003,33844529,-229561321.40000001,-232716789,-236844812.83709598,-222277829.96290404,-85.852924782693407,-88.672961558795592,-83.032888006591222,,,,,11501385.1,10569076,12673226.9,9978892.5,1171841.8,-25210.5,-2603087.6338881133,4946771.2338881129,16.225009552518298,-17.651479521984793,50.101498627021385,,,,,4814028.7999999998,4823040,4588339.2000000002,4581376,-225689.60000000001,-247808,-295331.80321247783,-156047.39678752216,-4.6601753960198957,-6.0705067256757399,-3.249844066364052,,,,,size-effect-inconclusive,"delta=ablated-minus-enabled; size_delta_bytes=0.0; compression_wall_ns_delta_percent=-85.8529247826934; decompression_wall_ns_delta_percent=16.225009552518298; peak_rss_bytes_delta_percent=-4.660175396019896; conservative_size_ci95=[0.0,0.0]",
1,file,development-interval-pruning-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,true,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,98d17241e915f764a4bca7fd8ee02bccb3ffccaf9b960288fb8975f56b75da3f,16bb39924ec8bb5b2f96a8c15f051fe6218c2353cbe73c436999ff410eb0292d,3cbfd95e79cbcb61fc2d120a83c22951e5b60acc6970b2b6b7f0efe363b84761,balanced,1,dev-synthetic-polynomial-d2,datasets/synthetic/polynomial_d2/s0000065536_n000p000_seed1297748005.bin,84d3c13eee3f79467573fc92d68af063eeeb786852df80299fe4c5e51659f4e3,65536,mathsvg,balanced-v1,d2bdf155e2ca61aec8e4606a339cbf55d98ca3a3f7fc409c66689d081442d088,6e854b903ec1291c0a51affff566a6f38eb6058511989ceddda6b5a3bb66b27e,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,mathsvg,balanced-ablation-no-interval-functions-or-coordinate-v1,be08a05aa9a3bf9503587f79879c0032a9ef256a88134ad82994682b0ea49410,8112663593584a9b011a8a158985b40d95a77225b32db7299cdf80f1958da695,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,no-interval-functions-or-coordinate,interval-functions;coordinates,ablated_minus_enabled,10,10,10,10,10,10,10,10,0,0,0,0,0,0,ok,ok,complete,pass,pass,complete,confirmed,paired-repetition-student-t,,,754,754,754,754,0,0,0,0,0,0,0,,,,,166667269.5,165694159,34230554.299999997,34133333,-132436715.2,-132170203,-133973728.52812091,-130899701.8718791,-79.459502330417195,-79.927079894697158,-78.991924766137231,,,,,10103464.800000001,9077145.5,10134961.9,9093566.5,31497.099999999999,50023.5,-3007991.6464026631,3070985.8464026633,5.07117391232598,-23.225962149727607,33.368309974379571,,,,,4604723.2000000002,4612096,4541644.7999999998,4534272,-63078.400000000001,-75776,-89472.792833053507,-36684.007166946496,-1.3675308380233813,-1.9380503957752844,-0.79701128027147816,,,,,size-effect-inconclusive,"delta=ablated-minus-enabled; size_delta_bytes=0.0; compression_wall_ns_delta_percent=-79.4595023304172; decompression_wall_ns_delta_percent=5.07117391232598; peak_rss_bytes_delta_percent=-1.3675308380233813; conservative_size_ci95=[0.0,0.0]",
1,file,development-interval-pruning-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,true,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,98d17241e915f764a4bca7fd8ee02bccb3ffccaf9b960288fb8975f56b75da3f,16bb39924ec8bb5b2f96a8c15f051fe6218c2353cbe73c436999ff410eb0292d,3cbfd95e79cbcb61fc2d120a83c22951e5b60acc6970b2b6b7f0efe363b84761,balanced,1,dev-synthetic-recurrence,datasets/synthetic/recurrence/s0000065536_n000p000_seed1297748005.bin,8d5944aabf5526f28b79d4b3841ec21dbd86daac0caa96729fec8838039fdd69,65536,mathsvg,balanced-v1,d2bdf155e2ca61aec8e4606a339cbf55d98ca3a3f7fc409c66689d081442d088,6e854b903ec1291c0a51affff566a6f38eb6058511989ceddda6b5a3bb66b27e,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,mathsvg,balanced-ablation-no-interval-functions-or-coordinate-v1,be08a05aa9a3bf9503587f79879c0032a9ef256a88134ad82994682b0ea49410,8112663593584a9b011a8a158985b40d95a77225b32db7299cdf80f1958da695,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,no-interval-functions-or-coordinate,interval-functions;coordinates,ablated_minus_enabled,10,10,10,10,10,10,10,10,0,0,0,0,0,0,ok,ok,complete,pass,pass,complete,confirmed,paired-repetition-student-t,,,882,882,882,882,0,0,0,0,0,0,0,,,,,217414481.90000001,216906223,34196946.299999997,33662538,-183217535.59999999,-183263017,-184239772.44762701,-182195298.75237298,-84.272409328314993,-84.679781857216767,-83.865036799413218,,,,,12009085,9481785,11912153.300000001,9962259,-96931.699999999997,-101812,-5031604.2960153427,4837740.8960153423,12.814135365801604,-26.970237472181068,52.598508203784277,,,,,4669440,4677632,4525670.4000000004,4519936,-143769.60000000001,-147456,-188683.02890545799,-98856.17109454202,-3.0703371433002635,-4.0156254839314647,-2.1250488026690624,,,,,size-effect-inconclusive,"delta=ablated-minus-enabled; size_delta_bytes=0.0; compression_wall_ns_delta_percent=-84.27240932831499; decompression_wall_ns_delta_percent=12.814135365801604; peak_rss_bytes_delta_percent=-3.0703371433002635; conservative_size_ci95=[0.0,0.0]",
