baseline_codec,baseline_config,mathsvg_profile,dataset,file,original_bytes,baseline_bytes,mathsvg_bytes,baseline_compression_ns,mathsvg_compression_ns,baseline_decompression_ns,mathsvg_decompression_ns,baseline_peak_rss,mathsvg_peak_rss,size_not_worse,compression_not_worse,decompression_not_worse,memory_not_worse,strict_metric_count,confidence_status,roundtrip_ok,native_mathsvg,schema_version,row_scope,experiment_id,machine_id,architecture,source_commit,dataset_manifest_sha256,randomization_seed,measurement_method,measurement_tool_sha256,split,dataset_id,input_sha256,threads,mathsvg_codec,mathsvg_codec_config,mathsvg_config_sha256,mathsvg_executable_sha256,mathsvg_status,baseline_config_sha256,baseline_executable_sha256,baseline_status,size_confidence_status,compression_confidence_status,decompression_confidence_status,memory_confidence_status,comparison_status,certificate_pass,failure_reason
gzip-6,gzip-6,balanced,development,__aggregate__,10180361,6380035,7257191,741294974.5,25264226867.5,264732582.5,2230141116.5,2084864,23977984,false,false,false,false,0,confirmed,true,true,1,corpus,development-pilot-v2-retry,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,__aggregate__,,1,mathsvg,balanced-ablation-no-coordinate-v1,fb91a9679f353dac71a4fd88cd05cce5491385745b3990bfa054c63ba3a8477f,81128211b782e3a4331d1c5fcd6db21eecf78dc823faab718e7ebe3f2ceeeee8,complete,bf920ab8461c6c60c8cc32db3d853f55655e60793cf7f64068847ad56c2b2e67,afea077ce127d4fa9ad410d3066ba2b54dea19c0b44f04adf56c72d5f7b7a9bb,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 877156 (13.7485%); compression worse by 24522931893 (3308.12%); decompression worse by 1965408534 (742.413%); memory worse by 21893120 (1050.1%)
lz4,lz4,balanced,development,__aggregate__,10180361,8951634,7257191,163009602.5,25264226867.5,159279254,2230141116.5,9998336,23977984,true,false,false,false,1,confirmed,true,true,1,corpus,development-pilot-v2-retry,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,__aggregate__,,1,mathsvg,balanced-ablation-no-coordinate-v1,fb91a9679f353dac71a4fd88cd05cce5491385745b3990bfa054c63ba3a8477f,81128211b782e3a4331d1c5fcd6db21eecf78dc823faab718e7ebe3f2ceeeee8,complete,56c1b7390551d55bb056da7122b41ac3f7e4459570e4627ac278f7c91d669491,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,complete,confirmed,confirmed,confirmed,confirmed,fail,false,compression worse by 25101217265 (15398.6%); decompression worse by 2070861862.5 (1300.15%); memory worse by 13979648 (139.82%)
raw,raw,balanced,development,__aggregate__,10180361,10180361,7257191,111296619.5,25264226867.5,110237181.5,2230141116.5,2105344,23977984,true,false,false,false,1,confirmed,true,true,1,corpus,development-pilot-v2-retry,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,__aggregate__,,1,mathsvg,balanced-ablation-no-coordinate-v1,fb91a9679f353dac71a4fd88cd05cce5491385745b3990bfa054c63ba3a8477f,81128211b782e3a4331d1c5fcd6db21eecf78dc823faab718e7ebe3f2ceeeee8,complete,deb7b660ce7575981cd7bc749fbec6d9d6b62e2c9a725ba1c8e9c79e304a087a,6187dab32cd7b6291d96c54425a22915a6eeb39add6d95ee9008e1dbba427131,complete,confirmed,confirmed,confirmed,confirmed,fail,false,compression worse by 25152930248 (22599.9%); decompression worse by 2119903935 (1923.04%); memory worse by 21872640 (1038.91%)
xz-9e,xz-9e,balanced,development,__aggregate__,10180361,4671724,7257191,9215523408,25264226867.5,643362761,2230141116.5,145993728,23977984,false,false,false,true,1,confirmed,true,true,1,corpus,development-pilot-v2-retry,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,__aggregate__,,1,mathsvg,balanced-ablation-no-coordinate-v1,fb91a9679f353dac71a4fd88cd05cce5491385745b3990bfa054c63ba3a8477f,81128211b782e3a4331d1c5fcd6db21eecf78dc823faab718e7ebe3f2ceeeee8,complete,1bd3a8a1a914bf55087f30b641adcacaac8d04f2cc5a9c21f3668bf2f6727da6,b5b163eb273291934556377ab883b4b2a5d4da50bd0dc0a91774ecc234ccd8d0,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 2585467 (55.3429%); compression worse by 16048703459.5 (174.149%); decompression worse by 1586778355.5 (246.638%)
zstd-default,zstd-default,balanced,development,__aggregate__,10180361,6334828,7257191,351931077.5,25264226867.5,175077641,2230141116.5,19361792,23977984,false,false,false,false,0,confirmed,true,true,1,corpus,development-pilot-v2-retry,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,__aggregate__,,1,mathsvg,balanced-ablation-no-coordinate-v1,fb91a9679f353dac71a4fd88cd05cce5491385745b3990bfa054c63ba3a8477f,81128211b782e3a4331d1c5fcd6db21eecf78dc823faab718e7ebe3f2ceeeee8,complete,8afdee0e1fe04f0a9c92a00ebbd438b50004de9dcdf47ce697a89ac0bdae40a5,7c5468b370f7c47eda07281e3437fafc568f95d10420051e3aa522709f9342c5,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 922363 (14.5602%); compression worse by 24912295790 (7078.74%); decompression worse by 2055063475.5 (1173.8%); memory worse by 4616192 (23.8418%)
gzip-6,gzip-6,balanced,development,__aggregate__,10180361,6380035,10056511,741294974.5,17349001423.5,264732582.5,631369081,2084864,22099968,false,false,false,false,0,confirmed,true,true,1,corpus,development-pilot-v2-retry,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,__aggregate__,,1,mathsvg,balanced-ablation-no-whole-block-entropy-v1,55f2cfb2e4425a7153decbe4e16c321721a5b66dc23940f14275abf99abeb42a,81128211b782e3a4331d1c5fcd6db21eecf78dc823faab718e7ebe3f2ceeeee8,complete,bf920ab8461c6c60c8cc32db3d853f55655e60793cf7f64068847ad56c2b2e67,afea077ce127d4fa9ad410d3066ba2b54dea19c0b44f04adf56c72d5f7b7a9bb,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 3676476 (57.6247%); compression worse by 16607706449 (2240.36%); decompression worse by 366636498.5 (138.493%); memory worse by 20015104 (960.02%)
lz4,lz4,balanced,development,__aggregate__,10180361,8951634,10056511,163009602.5,17349001423.5,159279254,631369081,9998336,22099968,false,false,false,false,0,confirmed,true,true,1,corpus,development-pilot-v2-retry,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,__aggregate__,,1,mathsvg,balanced-ablation-no-whole-block-entropy-v1,55f2cfb2e4425a7153decbe4e16c321721a5b66dc23940f14275abf99abeb42a,81128211b782e3a4331d1c5fcd6db21eecf78dc823faab718e7ebe3f2ceeeee8,complete,56c1b7390551d55bb056da7122b41ac3f7e4459570e4627ac278f7c91d669491,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 1104877 (12.3427%); compression worse by 17185991821 (10542.9%); decompression worse by 472089827 (296.391%); memory worse by 12101632 (121.036%)
raw,raw,balanced,development,__aggregate__,10180361,10180361,10056511,111296619.5,17349001423.5,110237181.5,631369081,2105344,22099968,true,false,false,false,1,confirmed,true,true,1,corpus,development-pilot-v2-retry,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,__aggregate__,,1,mathsvg,balanced-ablation-no-whole-block-entropy-v1,55f2cfb2e4425a7153decbe4e16c321721a5b66dc23940f14275abf99abeb42a,81128211b782e3a4331d1c5fcd6db21eecf78dc823faab718e7ebe3f2ceeeee8,complete,deb7b660ce7575981cd7bc749fbec6d9d6b62e2c9a725ba1c8e9c79e304a087a,6187dab32cd7b6291d96c54425a22915a6eeb39add6d95ee9008e1dbba427131,complete,confirmed,confirmed,confirmed,confirmed,fail,false,compression worse by 17237704804 (15488.1%); decompression worse by 521131899.5 (472.737%); memory worse by 19994624 (949.708%)
xz-9e,xz-9e,balanced,development,__aggregate__,10180361,4671724,10056511,9215523408,17349001423.5,643362761,631369081,145993728,22099968,false,false,true,true,2,inconclusive,true,true,1,corpus,development-pilot-v2-retry,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,__aggregate__,,1,mathsvg,balanced-ablation-no-whole-block-entropy-v1,55f2cfb2e4425a7153decbe4e16c321721a5b66dc23940f14275abf99abeb42a,81128211b782e3a4331d1c5fcd6db21eecf78dc823faab718e7ebe3f2ceeeee8,complete,1bd3a8a1a914bf55087f30b641adcacaac8d04f2cc5a9c21f3668bf2f6727da6,b5b163eb273291934556377ab883b4b2a5d4da50bd0dc0a91774ecc234ccd8d0,complete,confirmed,confirmed,inconclusive,confirmed,inconclusive,false,size worse by 5384787 (115.263%); compression worse by 8133478015.5 (88.2584%); decompression confidence is inconclusive
zstd-default,zstd-default,balanced,development,__aggregate__,10180361,6334828,10056511,351931077.5,17349001423.5,175077641,631369081,19361792,22099968,false,false,false,false,0,confirmed,true,true,1,corpus,development-pilot-v2-retry,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,__aggregate__,,1,mathsvg,balanced-ablation-no-whole-block-entropy-v1,55f2cfb2e4425a7153decbe4e16c321721a5b66dc23940f14275abf99abeb42a,81128211b782e3a4331d1c5fcd6db21eecf78dc823faab718e7ebe3f2ceeeee8,complete,8afdee0e1fe04f0a9c92a00ebbd438b50004de9dcdf47ce697a89ac0bdae40a5,7c5468b370f7c47eda07281e3437fafc568f95d10420051e3aa522709f9342c5,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 3721683 (58.7496%); compression worse by 16997070346 (4829.66%); decompression worse by 456291440 (260.622%); memory worse by 2738176 (14.1422%)
