baseline_codec,baseline_config,mathsvg_profile,dataset,file,original_bytes,baseline_bytes,mathsvg_bytes,baseline_compression_ns,mathsvg_compression_ns,baseline_decompression_ns,mathsvg_decompression_ns,baseline_peak_rss,mathsvg_peak_rss,size_not_worse,compression_not_worse,decompression_not_worse,memory_not_worse,strict_metric_count,confidence_status,roundtrip_ok,native_mathsvg,schema_version,row_scope,experiment_id,machine_id,architecture,source_commit,dataset_manifest_sha256,randomization_seed,measurement_method,measurement_tool_sha256,split,dataset_id,input_sha256,threads,mathsvg_codec,mathsvg_codec_config,mathsvg_config_sha256,mathsvg_executable_sha256,mathsvg_status,baseline_config_sha256,baseline_executable_sha256,baseline_status,size_confidence_status,compression_confidence_status,decompression_confidence_status,memory_confidence_status,comparison_status,certificate_pass,failure_reason
gzip-6,gzip-6,balanced,development,datasets/data/canterbury/alice29.txt,152089,54423,73860,27760781,1172135510,8992996,67432810,1822720,6324224,false,false,false,false,0,confirmed,true,true,1,file,development-pilot-v3-current,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-canterbury-alice29-txt,7467306ee0feed4971260f3c87421154a05be571d944e9cb021a5713700c38f0,1,mathsvg,balanced-v1,ab1a6fea843e305b09fbe834657f0edbca10ba12baddfc940f90efa8ef5ce4f5,cf043a438526f9d43144bf55c5cbfb3b69a3a9c91333d3c91f35be3b5f922663,complete,bf920ab8461c6c60c8cc32db3d853f55655e60793cf7f64068847ad56c2b2e67,afea077ce127d4fa9ad410d3066ba2b54dea19c0b44f04adf56c72d5f7b7a9bb,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 19437 (35.7147%); compression worse by 1144374729 (4122.27%); decompression worse by 58439814 (649.837%); memory worse by 4501504 (246.966%)
lz4,lz4,balanced,development,datasets/data/canterbury/alice29.txt,152089,88718,73860,9195180,1172135510,8857504.5,67432810,1871872,6324224,true,false,false,false,1,confirmed,true,true,1,file,development-pilot-v3-current,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-canterbury-alice29-txt,7467306ee0feed4971260f3c87421154a05be571d944e9cb021a5713700c38f0,1,mathsvg,balanced-v1,ab1a6fea843e305b09fbe834657f0edbca10ba12baddfc940f90efa8ef5ce4f5,cf043a438526f9d43144bf55c5cbfb3b69a3a9c91333d3c91f35be3b5f922663,complete,56c1b7390551d55bb056da7122b41ac3f7e4459570e4627ac278f7c91d669491,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,complete,confirmed,confirmed,confirmed,confirmed,fail,false,compression worse by 1162940330 (12647.3%); decompression worse by 58575305.5 (661.307%); memory worse by 4452352 (237.856%)
xz-9e,xz-9e,balanced,development,datasets/data/canterbury/alice29.txt,152089,48528,73860,165951234.5,1172135510,17368400.5,67432810,30449664,6324224,false,false,false,true,1,confirmed,true,true,1,file,development-pilot-v3-current,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-canterbury-alice29-txt,7467306ee0feed4971260f3c87421154a05be571d944e9cb021a5713700c38f0,1,mathsvg,balanced-v1,ab1a6fea843e305b09fbe834657f0edbca10ba12baddfc940f90efa8ef5ce4f5,cf043a438526f9d43144bf55c5cbfb3b69a3a9c91333d3c91f35be3b5f922663,complete,1bd3a8a1a914bf55087f30b641adcacaac8d04f2cc5a9c21f3668bf2f6727da6,b5b163eb273291934556377ab883b4b2a5d4da50bd0dc0a91774ecc234ccd8d0,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 25332 (52.2008%); compression worse by 1006184275.5 (606.313%); decompression worse by 50064409.5 (288.25%)
zstd-default,zstd-default,balanced,development,datasets/data/canterbury/alice29.txt,152089,56999,73860,16965828.5,1172135510,9219342.5,67432810,3586048,6324224,false,false,false,false,0,confirmed,true,true,1,file,development-pilot-v3-current,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-canterbury-alice29-txt,7467306ee0feed4971260f3c87421154a05be571d944e9cb021a5713700c38f0,1,mathsvg,balanced-v1,ab1a6fea843e305b09fbe834657f0edbca10ba12baddfc940f90efa8ef5ce4f5,cf043a438526f9d43144bf55c5cbfb3b69a3a9c91333d3c91f35be3b5f922663,complete,8afdee0e1fe04f0a9c92a00ebbd438b50004de9dcdf47ce697a89ac0bdae40a5,7c5468b370f7c47eda07281e3437fafc568f95d10420051e3aa522709f9342c5,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 16861 (29.5812%); compression worse by 1155169681.5 (6808.8%); decompression worse by 58213467.5 (631.428%); memory worse by 2738176 (76.3564%)
gzip-6,gzip-6,balanced,development,datasets/data/canterbury/kennedy.xls,1029744,206767,243978,65435757.5,1220422613,17288011,165621497,1953792,20611072,false,false,false,false,0,confirmed,true,true,1,file,development-pilot-v3-current,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-canterbury-kennedy-xls,9af47239ca29dfe20e633f80bbbb9a4cc9783d0803d7b2b5626f42e4c3790420,1,mathsvg,balanced-v1,ab1a6fea843e305b09fbe834657f0edbca10ba12baddfc940f90efa8ef5ce4f5,cf043a438526f9d43144bf55c5cbfb3b69a3a9c91333d3c91f35be3b5f922663,complete,bf920ab8461c6c60c8cc32db3d853f55655e60793cf7f64068847ad56c2b2e67,afea077ce127d4fa9ad410d3066ba2b54dea19c0b44f04adf56c72d5f7b7a9bb,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 37211 (17.9966%); compression worse by 1154986855.5 (1765.07%); decompression worse by 148333486 (858.014%); memory worse by 18657280 (954.927%)
lz4,lz4,balanced,development,datasets/data/canterbury/kennedy.xls,1029744,374723,243978,17172641.5,1220422613,17101394,165621497,3035136,20611072,true,false,false,false,1,confirmed,true,true,1,file,development-pilot-v3-current,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-canterbury-kennedy-xls,9af47239ca29dfe20e633f80bbbb9a4cc9783d0803d7b2b5626f42e4c3790420,1,mathsvg,balanced-v1,ab1a6fea843e305b09fbe834657f0edbca10ba12baddfc940f90efa8ef5ce4f5,cf043a438526f9d43144bf55c5cbfb3b69a3a9c91333d3c91f35be3b5f922663,complete,56c1b7390551d55bb056da7122b41ac3f7e4459570e4627ac278f7c91d669491,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,complete,confirmed,confirmed,confirmed,confirmed,fail,false,compression worse by 1203249971.5 (7006.78%); decompression worse by 148520103 (868.468%); memory worse by 17575936 (579.082%)
xz-9e,xz-9e,balanced,development,datasets/data/canterbury/kennedy.xls,1029744,51868,243978,2003741498.5,1220422613,33407674,165621497,35307520,20611072,false,true,false,true,2,confirmed,true,true,1,file,development-pilot-v3-current,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-canterbury-kennedy-xls,9af47239ca29dfe20e633f80bbbb9a4cc9783d0803d7b2b5626f42e4c3790420,1,mathsvg,balanced-v1,ab1a6fea843e305b09fbe834657f0edbca10ba12baddfc940f90efa8ef5ce4f5,cf043a438526f9d43144bf55c5cbfb3b69a3a9c91333d3c91f35be3b5f922663,complete,1bd3a8a1a914bf55087f30b641adcacaac8d04f2cc5a9c21f3668bf2f6727da6,b5b163eb273291934556377ab883b4b2a5d4da50bd0dc0a91774ecc234ccd8d0,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 192110 (370.383%); decompression worse by 132213823 (395.759%)
zstd-default,zstd-default,balanced,development,datasets/data/canterbury/kennedy.xls,1029744,111746,243978,33191651.5,1220422613,17110162,165621497,5287936,20611072,false,false,false,false,0,confirmed,true,true,1,file,development-pilot-v3-current,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-canterbury-kennedy-xls,9af47239ca29dfe20e633f80bbbb9a4cc9783d0803d7b2b5626f42e4c3790420,1,mathsvg,balanced-v1,ab1a6fea843e305b09fbe834657f0edbca10ba12baddfc940f90efa8ef5ce4f5,cf043a438526f9d43144bf55c5cbfb3b69a3a9c91333d3c91f35be3b5f922663,complete,8afdee0e1fe04f0a9c92a00ebbd438b50004de9dcdf47ce697a89ac0bdae40a5,7c5468b370f7c47eda07281e3437fafc568f95d10420051e3aa522709f9342c5,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 132232 (118.333%); compression worse by 1187230961.5 (3576.9%); decompression worse by 148511335 (867.972%); memory worse by 15323136 (289.775%)
gzip-6,gzip-6,balanced,development,datasets/data/silesia/x-ray,8474240,6037788,6801499,569268539.5,16486111730,167066728.5,2032194586,2084864,26937344,false,false,false,false,0,confirmed,true,true,1,file,development-pilot-v3-current,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-silesia-x-ray,7de9fce1405dc44ae5e6813ed21cd5751e761bd4265655a005d39b9685d1c9ad,1,mathsvg,balanced-v1,ab1a6fea843e305b09fbe834657f0edbca10ba12baddfc940f90efa8ef5ce4f5,cf043a438526f9d43144bf55c5cbfb3b69a3a9c91333d3c91f35be3b5f922663,complete,bf920ab8461c6c60c8cc32db3d853f55655e60793cf7f64068847ad56c2b2e67,afea077ce127d4fa9ad410d3066ba2b54dea19c0b44f04adf56c72d5f7b7a9bb,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 763711 (12.6489%); compression worse by 15916843190.5 (2796.02%); decompression worse by 1865127857.5 (1116.4%); memory worse by 24852480 (1192.04%)
lz4,lz4,balanced,development,datasets/data/silesia/x-ray,8474240,8406634,6801499,67145724,16486111730,65930215,2032194586,9986048,26937344,true,false,false,false,1,confirmed,true,true,1,file,development-pilot-v3-current,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-silesia-x-ray,7de9fce1405dc44ae5e6813ed21cd5751e761bd4265655a005d39b9685d1c9ad,1,mathsvg,balanced-v1,ab1a6fea843e305b09fbe834657f0edbca10ba12baddfc940f90efa8ef5ce4f5,cf043a438526f9d43144bf55c5cbfb3b69a3a9c91333d3c91f35be3b5f922663,complete,56c1b7390551d55bb056da7122b41ac3f7e4459570e4627ac278f7c91d669491,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,complete,confirmed,confirmed,confirmed,confirmed,fail,false,compression worse by 16418966006 (24452.7%); decompression worse by 1966264371 (2982.34%); memory worse by 16951296 (169.75%)
