baseline_codec,baseline_config,mathsvg_profile,dataset,file,original_bytes,baseline_bytes,mathsvg_bytes,baseline_compression_ns,mathsvg_compression_ns,baseline_decompression_ns,mathsvg_decompression_ns,baseline_peak_rss,mathsvg_peak_rss,size_not_worse,compression_not_worse,decompression_not_worse,memory_not_worse,strict_metric_count,confidence_status,roundtrip_ok,native_mathsvg,schema_version,row_scope,experiment_id,machine_id,architecture,source_commit,dataset_manifest_sha256,randomization_seed,measurement_method,measurement_tool_sha256,split,dataset_id,input_sha256,threads,mathsvg_codec,mathsvg_codec_config,mathsvg_config_sha256,mathsvg_executable_sha256,mathsvg_status,baseline_config_sha256,baseline_executable_sha256,baseline_status,size_confidence_status,compression_confidence_status,decompression_confidence_status,memory_confidence_status,comparison_status,certificate_pass,failure_reason
gzip-6,gzip-6,balanced,development,datasets/data/canterbury/alice29.txt,152089,54423,73860,33156890.5,1173167932,8948774.5,67057244.5,1822720,6344704,false,false,false,false,0,confirmed,true,true,1,file,development-pilot-v4-stable,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-canterbury-alice29-txt,7467306ee0feed4971260f3c87421154a05be571d944e9cb021a5713700c38f0,1,mathsvg,balanced-v1,ab1a6fea843e305b09fbe834657f0edbca10ba12baddfc940f90efa8ef5ce4f5,cf043a438526f9d43144bf55c5cbfb3b69a3a9c91333d3c91f35be3b5f922663,complete,bf920ab8461c6c60c8cc32db3d853f55655e60793cf7f64068847ad56c2b2e67,afea077ce127d4fa9ad410d3066ba2b54dea19c0b44f04adf56c72d5f7b7a9bb,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 19437 (35.7147%); compression worse by 1140011041.5 (3438.23%); decompression worse by 58108470 (649.346%); memory worse by 4521984 (248.09%)
lz4,lz4,balanced,development,datasets/data/canterbury/alice29.txt,152089,88718,73860,9018506.5,1173167932,8852459.5,67057244.5,1861632,6344704,true,false,false,false,1,confirmed,true,true,1,file,development-pilot-v4-stable,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-canterbury-alice29-txt,7467306ee0feed4971260f3c87421154a05be571d944e9cb021a5713700c38f0,1,mathsvg,balanced-v1,ab1a6fea843e305b09fbe834657f0edbca10ba12baddfc940f90efa8ef5ce4f5,cf043a438526f9d43144bf55c5cbfb3b69a3a9c91333d3c91f35be3b5f922663,complete,56c1b7390551d55bb056da7122b41ac3f7e4459570e4627ac278f7c91d669491,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,complete,confirmed,confirmed,confirmed,confirmed,fail,false,compression worse by 1164149425.5 (12908.5%); decompression worse by 58204785 (657.498%); memory worse by 4483072 (240.814%)
xz-9e,xz-9e,balanced,development,datasets/data/canterbury/alice29.txt,152089,48528,73860,165690455,1173167932,17080994.5,67057244.5,30457856,6344704,false,false,false,true,1,confirmed,true,true,1,file,development-pilot-v4-stable,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-canterbury-alice29-txt,7467306ee0feed4971260f3c87421154a05be571d944e9cb021a5713700c38f0,1,mathsvg,balanced-v1,ab1a6fea843e305b09fbe834657f0edbca10ba12baddfc940f90efa8ef5ce4f5,cf043a438526f9d43144bf55c5cbfb3b69a3a9c91333d3c91f35be3b5f922663,complete,1bd3a8a1a914bf55087f30b641adcacaac8d04f2cc5a9c21f3668bf2f6727da6,b5b163eb273291934556377ab883b4b2a5d4da50bd0dc0a91774ecc234ccd8d0,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 25332 (52.2008%); compression worse by 1007477477 (608.048%); decompression worse by 49976250 (292.584%)
zstd-default,zstd-default,balanced,development,datasets/data/canterbury/alice29.txt,152089,56999,73860,17075566.5,1173167932,9047996,67057244.5,3584000,6344704,false,false,false,false,0,confirmed,true,true,1,file,development-pilot-v4-stable,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-canterbury-alice29-txt,7467306ee0feed4971260f3c87421154a05be571d944e9cb021a5713700c38f0,1,mathsvg,balanced-v1,ab1a6fea843e305b09fbe834657f0edbca10ba12baddfc940f90efa8ef5ce4f5,cf043a438526f9d43144bf55c5cbfb3b69a3a9c91333d3c91f35be3b5f922663,complete,8afdee0e1fe04f0a9c92a00ebbd438b50004de9dcdf47ce697a89ac0bdae40a5,7c5468b370f7c47eda07281e3437fafc568f95d10420051e3aa522709f9342c5,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 16861 (29.5812%); compression worse by 1156092365.5 (6770.45%); decompression worse by 58009248.5 (641.128%); memory worse by 2760704 (77.0286%)
gzip-6,gzip-6,balanced,development,datasets/data/canterbury/kennedy.xls,1029744,206767,243978,66687788.5,1222755377,17983878,165947996.5,1953792,20602880,false,false,false,false,0,confirmed,true,true,1,file,development-pilot-v4-stable,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-canterbury-kennedy-xls,9af47239ca29dfe20e633f80bbbb9a4cc9783d0803d7b2b5626f42e4c3790420,1,mathsvg,balanced-v1,ab1a6fea843e305b09fbe834657f0edbca10ba12baddfc940f90efa8ef5ce4f5,cf043a438526f9d43144bf55c5cbfb3b69a3a9c91333d3c91f35be3b5f922663,complete,bf920ab8461c6c60c8cc32db3d853f55655e60793cf7f64068847ad56c2b2e67,afea077ce127d4fa9ad410d3066ba2b54dea19c0b44f04adf56c72d5f7b7a9bb,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 37211 (17.9966%); compression worse by 1156067588.5 (1733.55%); decompression worse by 147964118.5 (822.76%); memory worse by 18649088 (954.507%)
lz4,lz4,balanced,development,datasets/data/canterbury/kennedy.xls,1029744,374723,243978,17069012.5,1222755377,17018721,165947996.5,3041280,20602880,true,false,false,false,1,confirmed,true,true,1,file,development-pilot-v4-stable,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-canterbury-kennedy-xls,9af47239ca29dfe20e633f80bbbb9a4cc9783d0803d7b2b5626f42e4c3790420,1,mathsvg,balanced-v1,ab1a6fea843e305b09fbe834657f0edbca10ba12baddfc940f90efa8ef5ce4f5,cf043a438526f9d43144bf55c5cbfb3b69a3a9c91333d3c91f35be3b5f922663,complete,56c1b7390551d55bb056da7122b41ac3f7e4459570e4627ac278f7c91d669491,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,complete,confirmed,confirmed,confirmed,confirmed,fail,false,compression worse by 1205686364.5 (7063.6%); decompression worse by 148929275.5 (875.091%); memory worse by 17561600 (577.441%)
xz-9e,xz-9e,balanced,development,datasets/data/canterbury/kennedy.xls,1029744,51868,243978,2027175328,1222755377,33230805,165947996.5,35301376,20602880,false,true,false,true,2,confirmed,true,true,1,file,development-pilot-v4-stable,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-canterbury-kennedy-xls,9af47239ca29dfe20e633f80bbbb9a4cc9783d0803d7b2b5626f42e4c3790420,1,mathsvg,balanced-v1,ab1a6fea843e305b09fbe834657f0edbca10ba12baddfc940f90efa8ef5ce4f5,cf043a438526f9d43144bf55c5cbfb3b69a3a9c91333d3c91f35be3b5f922663,complete,1bd3a8a1a914bf55087f30b641adcacaac8d04f2cc5a9c21f3668bf2f6727da6,b5b163eb273291934556377ab883b4b2a5d4da50bd0dc0a91774ecc234ccd8d0,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 192110 (370.383%); decompression worse by 132717191.5 (399.38%)
zstd-default,zstd-default,balanced,development,datasets/data/canterbury/kennedy.xls,1029744,111746,243978,33141907,1222755377,17744369.5,165947996.5,5337088,20602880,false,false,false,false,0,confirmed,true,true,1,file,development-pilot-v4-stable,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-canterbury-kennedy-xls,9af47239ca29dfe20e633f80bbbb9a4cc9783d0803d7b2b5626f42e4c3790420,1,mathsvg,balanced-v1,ab1a6fea843e305b09fbe834657f0edbca10ba12baddfc940f90efa8ef5ce4f5,cf043a438526f9d43144bf55c5cbfb3b69a3a9c91333d3c91f35be3b5f922663,complete,8afdee0e1fe04f0a9c92a00ebbd438b50004de9dcdf47ce697a89ac0bdae40a5,7c5468b370f7c47eda07281e3437fafc568f95d10420051e3aa522709f9342c5,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 132232 (118.333%); compression worse by 1189613470 (3589.45%); decompression worse by 148203627 (835.215%); memory worse by 15265792 (286.032%)
gzip-6,gzip-6,balanced,development,datasets/data/silesia/x-ray,8474240,6037788,6801499,569141656,16490758778.5,167322020,2027613831,2019328,26880000,false,false,false,false,0,confirmed,true,true,1,file,development-pilot-v4-stable,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-silesia-x-ray,7de9fce1405dc44ae5e6813ed21cd5751e761bd4265655a005d39b9685d1c9ad,1,mathsvg,balanced-v1,ab1a6fea843e305b09fbe834657f0edbca10ba12baddfc940f90efa8ef5ce4f5,cf043a438526f9d43144bf55c5cbfb3b69a3a9c91333d3c91f35be3b5f922663,complete,bf920ab8461c6c60c8cc32db3d853f55655e60793cf7f64068847ad56c2b2e67,afea077ce127d4fa9ad410d3066ba2b54dea19c0b44f04adf56c72d5f7b7a9bb,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 763711 (12.6489%); compression worse by 15921617122.5 (2797.48%); decompression worse by 1860291811 (1111.8%); memory worse by 24860672 (1231.14%)
lz4,lz4,balanced,development,datasets/data/silesia/x-ray,8474240,8406634,6801499,65660682.5,16490758778.5,65845370,2027613831,9998336,26880000,true,false,false,false,1,confirmed,true,true,1,file,development-pilot-v4-stable,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-silesia-x-ray,7de9fce1405dc44ae5e6813ed21cd5751e761bd4265655a005d39b9685d1c9ad,1,mathsvg,balanced-v1,ab1a6fea843e305b09fbe834657f0edbca10ba12baddfc940f90efa8ef5ce4f5,cf043a438526f9d43144bf55c5cbfb3b69a3a9c91333d3c91f35be3b5f922663,complete,56c1b7390551d55bb056da7122b41ac3f7e4459570e4627ac278f7c91d669491,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,complete,confirmed,confirmed,confirmed,confirmed,fail,false,compression worse by 16425098096 (25015.1%); decompression worse by 1961768461 (2979.36%); memory worse by 16881664 (168.845%)
