baseline_codec,baseline_config,mathsvg_profile,dataset,file,original_bytes,baseline_bytes,mathsvg_bytes,baseline_compression_ns,mathsvg_compression_ns,baseline_decompression_ns,mathsvg_decompression_ns,baseline_peak_rss,mathsvg_peak_rss,size_not_worse,compression_not_worse,decompression_not_worse,memory_not_worse,strict_metric_count,confidence_status,roundtrip_ok,native_mathsvg,schema_version,row_scope,experiment_id,machine_id,architecture,source_commit,dataset_manifest_sha256,randomization_seed,measurement_method,measurement_tool_sha256,split,dataset_id,input_sha256,threads,mathsvg_codec,mathsvg_codec_config,mathsvg_config_sha256,mathsvg_executable_sha256,mathsvg_status,baseline_config_sha256,baseline_executable_sha256,baseline_status,size_confidence_status,compression_confidence_status,decompression_confidence_status,memory_confidence_status,comparison_status,certificate_pass,failure_reason
gzip-6,gzip-6,balanced,development,__aggregate__,10114825,6314471,7136397,732743671.5,14623350110,253848871,2341746964.5,2084864,25526272,false,false,false,false,0,confirmed,true,true,1,corpus,development-pilot-v5-pruned,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,__aggregate__,,1,mathsvg,balanced-v1,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,ab97034b57f903c5b9a509737b12da0980892412e2c38dfe00ba1ff077eabbbf,complete,bf920ab8461c6c60c8cc32db3d853f55655e60793cf7f64068847ad56c2b2e67,afea077ce127d4fa9ad410d3066ba2b54dea19c0b44f04adf56c72d5f7b7a9bb,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 821926 (13.0165%); compression worse by 13890606438.5 (1895.7%); decompression worse by 2087898093.5 (822.497%); memory worse by 23441408 (1124.36%)
lz4,lz4,balanced,development,__aggregate__,10114825,8886079,7136397,154801017.5,14623350110,153314580,2341746964.5,9996288,25526272,true,false,false,false,1,confirmed,true,true,1,corpus,development-pilot-v5-pruned,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,__aggregate__,,1,mathsvg,balanced-v1,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,ab97034b57f903c5b9a509737b12da0980892412e2c38dfe00ba1ff077eabbbf,complete,56c1b7390551d55bb056da7122b41ac3f7e4459570e4627ac278f7c91d669491,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,complete,confirmed,confirmed,confirmed,confirmed,fail,false,compression worse by 14468549092.5 (9346.55%); decompression worse by 2188432384.5 (1427.41%); memory worse by 15529984 (155.358%)
xz-9e,xz-9e,balanced,development,__aggregate__,10114825,4606124,7136397,8982186399.5,14623350110,632849277,2341746964.5,146055168,25526272,false,false,false,true,1,confirmed,true,true,1,corpus,development-pilot-v5-pruned,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,__aggregate__,,1,mathsvg,balanced-v1,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,ab97034b57f903c5b9a509737b12da0980892412e2c38dfe00ba1ff077eabbbf,complete,1bd3a8a1a914bf55087f30b641adcacaac8d04f2cc5a9c21f3668bf2f6727da6,b5b163eb273291934556377ab883b4b2a5d4da50bd0dc0a91774ecc234ccd8d0,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 2530273 (54.9328%); compression worse by 5641163710.5 (62.8039%); decompression worse by 1708897687.5 (270.032%)
zstd-default,zstd-default,balanced,development,__aggregate__,10114825,6269278,7136397,341505484.5,14623350110,158080636,2341746964.5,19281920,25526272,false,false,false,false,0,confirmed,true,true,1,corpus,development-pilot-v5-pruned,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,__aggregate__,,1,mathsvg,balanced-v1,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,ab97034b57f903c5b9a509737b12da0980892412e2c38dfe00ba1ff077eabbbf,complete,8afdee0e1fe04f0a9c92a00ebbd438b50004de9dcdf47ce697a89ac0bdae40a5,7c5468b370f7c47eda07281e3437fafc568f95d10420051e3aa522709f9342c5,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 867119 (13.8312%); compression worse by 14281844625.5 (4182.02%); decompression worse by 2183666328.5 (1381.36%); memory worse by 6244352 (32.3845%)
gzip-6,gzip-6,balanced,development,datasets/data/canterbury/alice29.txt,152089,54423,73860,33173412,265977593,9026972,65799421,1822720,6311936,false,false,false,false,0,confirmed,true,true,1,file,development-pilot-v5-pruned,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-canterbury-alice29-txt,7467306ee0feed4971260f3c87421154a05be571d944e9cb021a5713700c38f0,1,mathsvg,balanced-v1,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,ab97034b57f903c5b9a509737b12da0980892412e2c38dfe00ba1ff077eabbbf,complete,bf920ab8461c6c60c8cc32db3d853f55655e60793cf7f64068847ad56c2b2e67,afea077ce127d4fa9ad410d3066ba2b54dea19c0b44f04adf56c72d5f7b7a9bb,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 19437 (35.7147%); compression worse by 232804181 (701.779%); decompression worse by 56772449 (628.92%); memory worse by 4489216 (246.292%)
lz4,lz4,balanced,development,datasets/data/canterbury/alice29.txt,152089,88718,73860,8852557.5,265977593,8832975.5,65799421,1871872,6311936,true,false,false,false,1,confirmed,true,true,1,file,development-pilot-v5-pruned,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-canterbury-alice29-txt,7467306ee0feed4971260f3c87421154a05be571d944e9cb021a5713700c38f0,1,mathsvg,balanced-v1,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,ab97034b57f903c5b9a509737b12da0980892412e2c38dfe00ba1ff077eabbbf,complete,56c1b7390551d55bb056da7122b41ac3f7e4459570e4627ac278f7c91d669491,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,complete,confirmed,confirmed,confirmed,confirmed,fail,false,compression worse by 257125035.5 (2904.53%); decompression worse by 56966445.5 (644.929%); memory worse by 4440064 (237.199%)
xz-9e,xz-9e,balanced,development,datasets/data/canterbury/alice29.txt,152089,48528,73860,166481813,265977593,17138390.5,65799421,30453760,6311936,false,false,false,true,1,confirmed,true,true,1,file,development-pilot-v5-pruned,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-canterbury-alice29-txt,7467306ee0feed4971260f3c87421154a05be571d944e9cb021a5713700c38f0,1,mathsvg,balanced-v1,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,ab97034b57f903c5b9a509737b12da0980892412e2c38dfe00ba1ff077eabbbf,complete,1bd3a8a1a914bf55087f30b641adcacaac8d04f2cc5a9c21f3668bf2f6727da6,b5b163eb273291934556377ab883b4b2a5d4da50bd0dc0a91774ecc234ccd8d0,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 25332 (52.2008%); compression worse by 99495780 (59.7638%); decompression worse by 48661030.5 (283.93%)
zstd-default,zstd-default,balanced,development,datasets/data/canterbury/alice29.txt,152089,56999,73860,17071595,265977593,9063943,65799421,3584000,6311936,false,false,false,false,0,confirmed,true,true,1,file,development-pilot-v5-pruned,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-canterbury-alice29-txt,7467306ee0feed4971260f3c87421154a05be571d944e9cb021a5713700c38f0,1,mathsvg,balanced-v1,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,ab97034b57f903c5b9a509737b12da0980892412e2c38dfe00ba1ff077eabbbf,complete,8afdee0e1fe04f0a9c92a00ebbd438b50004de9dcdf47ce697a89ac0bdae40a5,7c5468b370f7c47eda07281e3437fafc568f95d10420051e3aa522709f9342c5,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 16861 (29.5812%); compression worse by 248905998 (1458.01%); decompression worse by 56735478 (625.947%); memory worse by 2727936 (76.1143%)
gzip-6,gzip-6,balanced,development,datasets/data/canterbury/kennedy.xls,1029744,206767,243978,65943170.5,871223957,16992244.5,167057864,1953792,20563968,false,false,false,false,0,confirmed,true,true,1,file,development-pilot-v5-pruned,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-canterbury-kennedy-xls,9af47239ca29dfe20e633f80bbbb9a4cc9783d0803d7b2b5626f42e4c3790420,1,mathsvg,balanced-v1,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,ab97034b57f903c5b9a509737b12da0980892412e2c38dfe00ba1ff077eabbbf,complete,bf920ab8461c6c60c8cc32db3d853f55655e60793cf7f64068847ad56c2b2e67,afea077ce127d4fa9ad410d3066ba2b54dea19c0b44f04adf56c72d5f7b7a9bb,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 37211 (17.9966%); compression worse by 805280786.5 (1221.17%); decompression worse by 150065619.5 (883.142%); memory worse by 18610176 (952.516%)
lz4,lz4,balanced,development,datasets/data/canterbury/kennedy.xls,1029744,374723,243978,17592312.5,871223957,16965948,167057864,3035136,20563968,true,false,false,false,1,confirmed,true,true,1,file,development-pilot-v5-pruned,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-canterbury-kennedy-xls,9af47239ca29dfe20e633f80bbbb9a4cc9783d0803d7b2b5626f42e4c3790420,1,mathsvg,balanced-v1,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,ab97034b57f903c5b9a509737b12da0980892412e2c38dfe00ba1ff077eabbbf,complete,56c1b7390551d55bb056da7122b41ac3f7e4459570e4627ac278f7c91d669491,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,complete,confirmed,confirmed,confirmed,confirmed,fail,false,compression worse by 853631644.5 (4852.3%); decompression worse by 150091916 (884.666%); memory worse by 17528832 (577.53%)
