baseline_codec,baseline_config,mathsvg_profile,dataset,file,original_bytes,baseline_bytes,mathsvg_bytes,baseline_compression_ns,mathsvg_compression_ns,baseline_decompression_ns,mathsvg_decompression_ns,baseline_peak_rss,mathsvg_peak_rss,size_not_worse,compression_not_worse,decompression_not_worse,memory_not_worse,strict_metric_count,confidence_status,roundtrip_ok,native_mathsvg,schema_version,row_scope,experiment_id,machine_id,architecture,source_commit,dataset_manifest_sha256,randomization_seed,measurement_method,measurement_tool_sha256,split,dataset_id,input_sha256,threads,mathsvg_codec,mathsvg_codec_config,mathsvg_config_sha256,mathsvg_executable_sha256,mathsvg_status,baseline_config_sha256,baseline_executable_sha256,baseline_status,size_confidence_status,compression_confidence_status,decompression_confidence_status,memory_confidence_status,comparison_status,certificate_pass,failure_reason
gzip-6,gzip-6,balanced,development,datasets/data/canterbury/alice29.txt,152089,54423,73860,27466607,167359578,8915876,34393222.5,1822720,6342656,false,false,false,false,0,confirmed,true,true,1,file,development-pilot-v7-structured-generators,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-canterbury-alice29-txt,7467306ee0feed4971260f3c87421154a05be571d944e9cb021a5713700c38f0,1,mathsvg,balanced-v1,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,c5c433301bf3bffaa1a75b00d10eca2866a1f5e6f412a031d562199e59f64a06,complete,bf920ab8461c6c60c8cc32db3d853f55655e60793cf7f64068847ad56c2b2e67,afea077ce127d4fa9ad410d3066ba2b54dea19c0b44f04adf56c72d5f7b7a9bb,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 19437 (35.7147%); compression worse by 139892971 (509.32%); decompression worse by 25477346.5 (285.753%); memory worse by 4519936 (247.978%)
lz4,lz4,balanced,development,datasets/data/canterbury/alice29.txt,152089,88718,73860,8963843.5,167359578,8887370.5,34393222.5,1863680,6342656,true,false,false,false,1,confirmed,true,true,1,file,development-pilot-v7-structured-generators,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-canterbury-alice29-txt,7467306ee0feed4971260f3c87421154a05be571d944e9cb021a5713700c38f0,1,mathsvg,balanced-v1,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,c5c433301bf3bffaa1a75b00d10eca2866a1f5e6f412a031d562199e59f64a06,complete,56c1b7390551d55bb056da7122b41ac3f7e4459570e4627ac278f7c91d669491,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,complete,confirmed,confirmed,confirmed,confirmed,fail,false,compression worse by 158395734.5 (1767.05%); decompression worse by 25505852 (286.99%); memory worse by 4478976 (240.33%)
xz-9e,xz-9e,balanced,development,datasets/data/canterbury/alice29.txt,152089,48528,73860,165813841.5,167359578,16984935.5,34393222.5,30457856,6342656,false,false,false,true,1,inconclusive,true,true,1,file,development-pilot-v7-structured-generators,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-canterbury-alice29-txt,7467306ee0feed4971260f3c87421154a05be571d944e9cb021a5713700c38f0,1,mathsvg,balanced-v1,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,c5c433301bf3bffaa1a75b00d10eca2866a1f5e6f412a031d562199e59f64a06,complete,1bd3a8a1a914bf55087f30b641adcacaac8d04f2cc5a9c21f3668bf2f6727da6,b5b163eb273291934556377ab883b4b2a5d4da50bd0dc0a91774ecc234ccd8d0,complete,confirmed,inconclusive,confirmed,confirmed,inconclusive,false,size worse by 25332 (52.2008%); compression confidence is inconclusive; compression point estimate worse by 1545736.5 (0.932212%); decompression worse by 17408287 (102.493%)
zstd-default,zstd-default,balanced,development,datasets/data/canterbury/alice29.txt,152089,56999,73860,17190293.5,167359578,9001953,34393222.5,3518464,6342656,false,false,false,false,0,confirmed,true,true,1,file,development-pilot-v7-structured-generators,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-canterbury-alice29-txt,7467306ee0feed4971260f3c87421154a05be571d944e9cb021a5713700c38f0,1,mathsvg,balanced-v1,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,c5c433301bf3bffaa1a75b00d10eca2866a1f5e6f412a031d562199e59f64a06,complete,8afdee0e1fe04f0a9c92a00ebbd438b50004de9dcdf47ce697a89ac0bdae40a5,7c5468b370f7c47eda07281e3437fafc568f95d10420051e3aa522709f9342c5,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 16861 (29.5812%); compression worse by 150169284.5 (873.57%); decompression worse by 25391269.5 (282.064%); memory worse by 2824192 (80.2678%)
gzip-6,gzip-6,balanced,development,datasets/data/canterbury/kennedy.xls,1029744,206767,243978,65596681,619892399,17064454.5,68031432,1953792,20594688,false,false,false,false,0,confirmed,true,true,1,file,development-pilot-v7-structured-generators,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-canterbury-kennedy-xls,9af47239ca29dfe20e633f80bbbb9a4cc9783d0803d7b2b5626f42e4c3790420,1,mathsvg,balanced-v1,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,c5c433301bf3bffaa1a75b00d10eca2866a1f5e6f412a031d562199e59f64a06,complete,bf920ab8461c6c60c8cc32db3d853f55655e60793cf7f64068847ad56c2b2e67,afea077ce127d4fa9ad410d3066ba2b54dea19c0b44f04adf56c72d5f7b7a9bb,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 37211 (17.9966%); compression worse by 554295718 (845.006%); decompression worse by 50966977.5 (298.673%); memory worse by 18640896 (954.088%)
lz4,lz4,balanced,development,datasets/data/canterbury/kennedy.xls,1029744,374723,243978,17055591.5,619892399,16968236,68031432,3047424,20594688,true,false,false,false,1,confirmed,true,true,1,file,development-pilot-v7-structured-generators,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-canterbury-kennedy-xls,9af47239ca29dfe20e633f80bbbb9a4cc9783d0803d7b2b5626f42e4c3790420,1,mathsvg,balanced-v1,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,c5c433301bf3bffaa1a75b00d10eca2866a1f5e6f412a031d562199e59f64a06,complete,56c1b7390551d55bb056da7122b41ac3f7e4459570e4627ac278f7c91d669491,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,complete,confirmed,confirmed,confirmed,confirmed,fail,false,compression worse by 602836807.5 (3534.54%); decompression worse by 51063196 (300.934%); memory worse by 17547264 (575.806%)
xz-9e,xz-9e,balanced,development,datasets/data/canterbury/kennedy.xls,1029744,51868,243978,2024043086.5,619892399,33299534,68031432,35307520,20594688,false,true,false,true,2,confirmed,true,true,1,file,development-pilot-v7-structured-generators,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-canterbury-kennedy-xls,9af47239ca29dfe20e633f80bbbb9a4cc9783d0803d7b2b5626f42e4c3790420,1,mathsvg,balanced-v1,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,c5c433301bf3bffaa1a75b00d10eca2866a1f5e6f412a031d562199e59f64a06,complete,1bd3a8a1a914bf55087f30b641adcacaac8d04f2cc5a9c21f3668bf2f6727da6,b5b163eb273291934556377ab883b4b2a5d4da50bd0dc0a91774ecc234ccd8d0,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 192110 (370.383%); decompression worse by 34731898 (104.301%)
zstd-default,zstd-default,balanced,development,datasets/data/canterbury/kennedy.xls,1029744,111746,243978,33329652,619892399,17265433,68031432,5337088,20594688,false,false,false,false,0,confirmed,true,true,1,file,development-pilot-v7-structured-generators,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-canterbury-kennedy-xls,9af47239ca29dfe20e633f80bbbb9a4cc9783d0803d7b2b5626f42e4c3790420,1,mathsvg,balanced-v1,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,c5c433301bf3bffaa1a75b00d10eca2866a1f5e6f412a031d562199e59f64a06,complete,8afdee0e1fe04f0a9c92a00ebbd438b50004de9dcdf47ce697a89ac0bdae40a5,7c5468b370f7c47eda07281e3437fafc568f95d10420051e3aa522709f9342c5,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 132232 (118.333%); compression worse by 586562747 (1759.88%); decompression worse by 50765999 (294.033%); memory worse by 15257600 (285.879%)
gzip-6,gzip-6,balanced,development,datasets/data/silesia/x-ray,8474240,6037788,6801499,569132474.5,8904338152.5,165720620.5,1021731368.5,2082816,26458112,false,false,false,false,0,confirmed,true,true,1,file,development-pilot-v7-structured-generators,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-silesia-x-ray,7de9fce1405dc44ae5e6813ed21cd5751e761bd4265655a005d39b9685d1c9ad,1,mathsvg,balanced-v1,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,c5c433301bf3bffaa1a75b00d10eca2866a1f5e6f412a031d562199e59f64a06,complete,bf920ab8461c6c60c8cc32db3d853f55655e60793cf7f64068847ad56c2b2e67,afea077ce127d4fa9ad410d3066ba2b54dea19c0b44f04adf56c72d5f7b7a9bb,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 763711 (12.6489%); compression worse by 8335205678 (1464.55%); decompression worse by 856010748 (516.538%); memory worse by 24375296 (1170.3%)
lz4,lz4,balanced,development,datasets/data/silesia/x-ray,8474240,8406634,6801499,65779138,8904338152.5,66034029.5,1021731368.5,9967616,26458112,true,false,false,false,1,confirmed,true,true,1,file,development-pilot-v7-structured-generators,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-silesia-x-ray,7de9fce1405dc44ae5e6813ed21cd5751e761bd4265655a005d39b9685d1c9ad,1,mathsvg,balanced-v1,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,c5c433301bf3bffaa1a75b00d10eca2866a1f5e6f412a031d562199e59f64a06,complete,56c1b7390551d55bb056da7122b41ac3f7e4459570e4627ac278f7c91d669491,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,complete,confirmed,confirmed,confirmed,confirmed,fail,false,compression worse by 8838559014.5 (13436.7%); decompression worse by 955697339 (1447.28%); memory worse by 16490496 (165.441%)
