baseline_codec,baseline_config,mathsvg_profile,dataset,file,original_bytes,baseline_bytes,mathsvg_bytes,baseline_compression_ns,mathsvg_compression_ns,baseline_decompression_ns,mathsvg_decompression_ns,baseline_peak_rss,mathsvg_peak_rss,size_not_worse,compression_not_worse,decompression_not_worse,memory_not_worse,strict_metric_count,confidence_status,roundtrip_ok,native_mathsvg,schema_version,row_scope,experiment_id,machine_id,architecture,source_commit,dataset_manifest_sha256,randomization_seed,measurement_method,measurement_tool_sha256,split,dataset_id,input_sha256,threads,mathsvg_codec,mathsvg_codec_config,mathsvg_config_sha256,mathsvg_executable_sha256,mathsvg_status,baseline_config_sha256,baseline_executable_sha256,baseline_status,size_confidence_status,compression_confidence_status,decompression_confidence_status,memory_confidence_status,comparison_status,certificate_pass,failure_reason
gzip-6,gzip-6,balanced,development,datasets/data/canterbury/alice29.txt,152089,54423,72196,33143560,166264032.5,9936460.5,33377140.5,1818624,6107136,false,false,false,false,0,confirmed,true,true,1,file,development-pilot-v9-c8l-final,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-canterbury-alice29-txt,7467306ee0feed4971260f3c87421154a05be571d944e9cb021a5713700c38f0,1,mathsvg,balanced-v1,336f463f90c96b050e75def715bcb3785a9a14b9212acc71a60ab60e37b97f3f,997217bcf5afe23ed4db02d2659111bebe4a16632bb36f27ef181784546603aa,complete,bf920ab8461c6c60c8cc32db3d853f55655e60793cf7f64068847ad56c2b2e67,afea077ce127d4fa9ad410d3066ba2b54dea19c0b44f04adf56c72d5f7b7a9bb,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 17773 (32.6571%); compression worse by 133120472.5 (401.648%); decompression worse by 23440680 (235.906%); memory worse by 4288512 (235.811%)
lz4,lz4,balanced,development,datasets/data/canterbury/alice29.txt,152089,88718,72196,8873068.5,166264032.5,9283343.5,33377140.5,1859584,6107136,true,false,false,false,1,confirmed,true,true,1,file,development-pilot-v9-c8l-final,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-canterbury-alice29-txt,7467306ee0feed4971260f3c87421154a05be571d944e9cb021a5713700c38f0,1,mathsvg,balanced-v1,336f463f90c96b050e75def715bcb3785a9a14b9212acc71a60ab60e37b97f3f,997217bcf5afe23ed4db02d2659111bebe4a16632bb36f27ef181784546603aa,complete,56c1b7390551d55bb056da7122b41ac3f7e4459570e4627ac278f7c91d669491,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,complete,confirmed,confirmed,confirmed,confirmed,fail,false,compression worse by 157390964 (1773.81%); decompression worse by 24093797 (259.538%); memory worse by 4247552 (228.414%)
xz-9e,xz-9e,balanced,development,datasets/data/canterbury/alice29.txt,152089,48528,72196,166926185,166264032.5,17047098.5,33377140.5,30449664,6107136,false,true,false,true,2,inconclusive,true,true,1,file,development-pilot-v9-c8l-final,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-canterbury-alice29-txt,7467306ee0feed4971260f3c87421154a05be571d944e9cb021a5713700c38f0,1,mathsvg,balanced-v1,336f463f90c96b050e75def715bcb3785a9a14b9212acc71a60ab60e37b97f3f,997217bcf5afe23ed4db02d2659111bebe4a16632bb36f27ef181784546603aa,complete,1bd3a8a1a914bf55087f30b641adcacaac8d04f2cc5a9c21f3668bf2f6727da6,b5b163eb273291934556377ab883b4b2a5d4da50bd0dc0a91774ecc234ccd8d0,complete,confirmed,inconclusive,confirmed,confirmed,inconclusive,false,size worse by 23668 (48.7718%); compression confidence is inconclusive; decompression worse by 16330042 (95.7937%)
zstd-default,zstd-default,balanced,development,datasets/data/canterbury/alice29.txt,152089,56999,72196,17038866.5,166264032.5,9724090,33377140.5,3514368,6107136,false,false,false,false,0,confirmed,true,true,1,file,development-pilot-v9-c8l-final,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-canterbury-alice29-txt,7467306ee0feed4971260f3c87421154a05be571d944e9cb021a5713700c38f0,1,mathsvg,balanced-v1,336f463f90c96b050e75def715bcb3785a9a14b9212acc71a60ab60e37b97f3f,997217bcf5afe23ed4db02d2659111bebe4a16632bb36f27ef181784546603aa,complete,8afdee0e1fe04f0a9c92a00ebbd438b50004de9dcdf47ce697a89ac0bdae40a5,7c5468b370f7c47eda07281e3437fafc568f95d10420051e3aa522709f9342c5,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 15197 (26.6619%); compression worse by 149225166 (875.793%); decompression worse by 23653050.5 (243.242%); memory worse by 2592768 (73.7762%)
gzip-6,gzip-6,balanced,development,datasets/data/canterbury/kennedy.xls,1029744,206767,243126,66093236.5,669954581.5,17377471.5,115884228.5,1949696,20590592,false,false,false,false,0,confirmed,true,true,1,file,development-pilot-v9-c8l-final,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-canterbury-kennedy-xls,9af47239ca29dfe20e633f80bbbb9a4cc9783d0803d7b2b5626f42e4c3790420,1,mathsvg,balanced-v1,336f463f90c96b050e75def715bcb3785a9a14b9212acc71a60ab60e37b97f3f,997217bcf5afe23ed4db02d2659111bebe4a16632bb36f27ef181784546603aa,complete,bf920ab8461c6c60c8cc32db3d853f55655e60793cf7f64068847ad56c2b2e67,afea077ce127d4fa9ad410d3066ba2b54dea19c0b44f04adf56c72d5f7b7a9bb,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 36359 (17.5845%); compression worse by 603861345 (913.651%); decompression worse by 98506757 (566.865%); memory worse by 18640896 (956.092%)
lz4,lz4,balanced,development,datasets/data/canterbury/kennedy.xls,1029744,374723,243126,17289985.5,669954581.5,17087213.5,115884228.5,3047424,20590592,true,false,false,false,1,confirmed,true,true,1,file,development-pilot-v9-c8l-final,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-canterbury-kennedy-xls,9af47239ca29dfe20e633f80bbbb9a4cc9783d0803d7b2b5626f42e4c3790420,1,mathsvg,balanced-v1,336f463f90c96b050e75def715bcb3785a9a14b9212acc71a60ab60e37b97f3f,997217bcf5afe23ed4db02d2659111bebe4a16632bb36f27ef181784546603aa,complete,56c1b7390551d55bb056da7122b41ac3f7e4459570e4627ac278f7c91d669491,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,complete,confirmed,confirmed,confirmed,confirmed,fail,false,compression worse by 652664596 (3774.81%); decompression worse by 98797015 (578.193%); memory worse by 17543168 (575.672%)
xz-9e,xz-9e,balanced,development,datasets/data/canterbury/kennedy.xls,1029744,51868,243126,1998719719,669954581.5,33227972.5,115884228.5,35301376,20590592,false,true,false,true,2,confirmed,true,true,1,file,development-pilot-v9-c8l-final,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-canterbury-kennedy-xls,9af47239ca29dfe20e633f80bbbb9a4cc9783d0803d7b2b5626f42e4c3790420,1,mathsvg,balanced-v1,336f463f90c96b050e75def715bcb3785a9a14b9212acc71a60ab60e37b97f3f,997217bcf5afe23ed4db02d2659111bebe4a16632bb36f27ef181784546603aa,complete,1bd3a8a1a914bf55087f30b641adcacaac8d04f2cc5a9c21f3668bf2f6727da6,b5b163eb273291934556377ab883b4b2a5d4da50bd0dc0a91774ecc234ccd8d0,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 191258 (368.74%); decompression worse by 82656256 (248.755%)
zstd-default,zstd-default,balanced,development,datasets/data/canterbury/kennedy.xls,1029744,111746,243126,33375092.5,669954581.5,17041810.5,115884228.5,5337088,20590592,false,false,false,false,0,confirmed,true,true,1,file,development-pilot-v9-c8l-final,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-canterbury-kennedy-xls,9af47239ca29dfe20e633f80bbbb9a4cc9783d0803d7b2b5626f42e4c3790420,1,mathsvg,balanced-v1,336f463f90c96b050e75def715bcb3785a9a14b9212acc71a60ab60e37b97f3f,997217bcf5afe23ed4db02d2659111bebe4a16632bb36f27ef181784546603aa,complete,8afdee0e1fe04f0a9c92a00ebbd438b50004de9dcdf47ce697a89ac0bdae40a5,7c5468b370f7c47eda07281e3437fafc568f95d10420051e3aa522709f9342c5,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 131380 (117.57%); compression worse by 636579489 (1907.35%); decompression worse by 98842418 (580%); memory worse by 15253504 (285.802%)
gzip-6,gzip-6,balanced,development,datasets/data/silesia/x-ray,8474240,6037788,6800480,567748012,7962668600.5,165886798,1019302942.5,2080768,26525696,false,false,false,false,0,confirmed,true,true,1,file,development-pilot-v9-c8l-final,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-silesia-x-ray,7de9fce1405dc44ae5e6813ed21cd5751e761bd4265655a005d39b9685d1c9ad,1,mathsvg,balanced-v1,336f463f90c96b050e75def715bcb3785a9a14b9212acc71a60ab60e37b97f3f,997217bcf5afe23ed4db02d2659111bebe4a16632bb36f27ef181784546603aa,complete,bf920ab8461c6c60c8cc32db3d853f55655e60793cf7f64068847ad56c2b2e67,afea077ce127d4fa9ad410d3066ba2b54dea19c0b44f04adf56c72d5f7b7a9bb,complete,confirmed,confirmed,confirmed,confirmed,fail,false,size worse by 762692 (12.632%); compression worse by 7394920588.5 (1302.5%); decompression worse by 853416144.5 (514.457%); memory worse by 24444928 (1174.8%)
lz4,lz4,balanced,development,datasets/data/silesia/x-ray,8474240,8406634,6800480,65475611,7962668600.5,66098710.5,1019302942.5,9961472,26525696,true,false,false,false,1,confirmed,true,true,1,file,development-pilot-v9-c8l-final,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,dev-silesia-x-ray,7de9fce1405dc44ae5e6813ed21cd5751e761bd4265655a005d39b9685d1c9ad,1,mathsvg,balanced-v1,336f463f90c96b050e75def715bcb3785a9a14b9212acc71a60ab60e37b97f3f,997217bcf5afe23ed4db02d2659111bebe4a16632bb36f27ef181784546603aa,complete,56c1b7390551d55bb056da7122b41ac3f7e4459570e4627ac278f7c91d669491,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,complete,confirmed,confirmed,confirmed,confirmed,fail,false,compression worse by 7897192989.5 (12061.3%); decompression worse by 953204232 (1442.09%); memory worse by 16564224 (166.283%)
