split,dataset_id,split_group,origin,primary,domain,source,license,sha256,bytes,sealed,path,legacy_observed
development,dev-calgary-bib,legacy-calgary,real,true,standard-text,https://corpus.canterbury.ac.nz/descriptions/#calgary,Upstream files retain their original terms; use for reproducible compression research and do not redistribute without checking each source.,0f1a13936e358191533aca4a32ff42906d1b7f641f3afb0a90458b2410419fcf,111261,false,datasets/data/calgary/bib,true
development,dev-calgary-book1,legacy-calgary,real,true,standard-text,https://corpus.canterbury.ac.nz/descriptions/#calgary,Upstream files retain their original terms; use for reproducible compression research and do not redistribute without checking each source.,9ffa47cd93bccd732f20e0c304203cfbc1b8a91bedac536e2d8f6051003d9951,768771,false,datasets/data/calgary/book1,true
development,dev-calgary-book2,legacy-calgary,real,true,standard-text,https://corpus.canterbury.ac.nz/descriptions/#calgary,Upstream files retain their original terms; use for reproducible compression research and do not redistribute without checking each source.,c8538730cf2ce6a243acf3eb299c43d619b5c695d892f4884df796c13081fdf8,610856,false,datasets/data/calgary/book2,true
development,dev-calgary-geo,legacy-calgary,real,true,structured-geophysical-binary,https://corpus.canterbury.ac.nz/descriptions/#calgary,Upstream files retain their original terms; use for reproducible compression research and do not redistribute without checking each source.,913ff6f45610599020c02f543a0d5a1f46cf772412e25a568b683d23db8c447d,102400,false,datasets/data/calgary/geo,true
development,dev-calgary-news,legacy-calgary,real,true,standard-text,https://corpus.canterbury.ac.nz/descriptions/#calgary,Upstream files retain their original terms; use for reproducible compression research and do not redistribute without checking each source.,7f0482f9774681429eb7021050c17966f6acf19450e170de6611e1ed953d42e8,377109,false,datasets/data/calgary/news,true
development,dev-calgary-obj1,legacy-calgary,real,true,real-mixed-object-code,https://corpus.canterbury.ac.nz/descriptions/#calgary,Upstream files retain their original terms; use for reproducible compression research and do not redistribute without checking each source.,8c06109caffd7e794516e4ed10095b0238ea8df63ed66840907cd4dd23e2cf72,21504,false,datasets/data/calgary/obj1,true
development,dev-calgary-obj2,legacy-calgary,real,true,real-mixed-object-code,https://corpus.canterbury.ac.nz/descriptions/#calgary,Upstream files retain their original terms; use for reproducible compression research and do not redistribute without checking each source.,8b3e7f028bfefaebdd48a791060a1ab11d1ffd9bf27e0d63b15e58dda0deb984,246814,false,datasets/data/calgary/obj2,true
development,dev-calgary-paper1,legacy-calgary,real,true,standard-text,https://corpus.canterbury.ac.nz/descriptions/#calgary,Upstream files retain their original terms; use for reproducible compression research and do not redistribute without checking each source.,8d9c42d9fa58b5bce1a8b5fae3cc27c9eb7cc7a032bc12a633d44e816497e143,53161,false,datasets/data/calgary/paper1,true
development,dev-calgary-paper2,legacy-calgary,real,true,standard-text,https://corpus.canterbury.ac.nz/descriptions/#calgary,Upstream files retain their original terms; use for reproducible compression research and do not redistribute without checking each source.,dc4b9cf68094c632a920f4e76d0a0a8b9617b624c36928ca46a5d29798c5bbbe,82199,false,datasets/data/calgary/paper2,true
development,dev-calgary-pic,legacy-calgary,real,true,structured-bitmap-bilevel,https://corpus.canterbury.ac.nz/descriptions/#calgary,Upstream files retain their original terms; use for reproducible compression research and do not redistribute without checking each source.,0ec3a75089bb52342813496b17e51377bc9eba3cb519a444d67025354841d650,513216,false,datasets/data/calgary/pic,true
development,dev-calgary-progc,legacy-calgary,real,true,standard-text,https://corpus.canterbury.ac.nz/descriptions/#calgary,Upstream files retain their original terms; use for reproducible compression research and do not redistribute without checking each source.,151377a9d6aa9b7e872000269707a15e2b038c826340628e6f4d8b4db9ec3c19,39611,false,datasets/data/calgary/progc,true
development,dev-calgary-progl,legacy-calgary,real,true,standard-text,https://corpus.canterbury.ac.nz/descriptions/#calgary,Upstream files retain their original terms; use for reproducible compression research and do not redistribute without checking each source.,9388db0cfb71ffbe5687d381819a5ff69cdd992d6931e0cf81a310a1caed0ba0,71646,false,datasets/data/calgary/progl,true
development,dev-calgary-progp,legacy-calgary,real,true,standard-text,https://corpus.canterbury.ac.nz/descriptions/#calgary,Upstream files retain their original terms; use for reproducible compression research and do not redistribute without checking each source.,d0cd70ab5f7381a8584b25fa73b3608571a17ee1042cc5c546f63b904614d1bc,49379,false,datasets/data/calgary/progp,true
development,dev-calgary-trans,legacy-calgary,real,true,standard-text,https://corpus.canterbury.ac.nz/descriptions/#calgary,Upstream files retain their original terms; use for reproducible compression research and do not redistribute without checking each source.,117a00c6af3e1c57f20013a8f1b468158f70634f685a348bedb7e4069cdd576a,93695,false,datasets/data/calgary/trans,true
development,dev-canterbury-alice29-txt,legacy-canterbury,real,true,standard-text,https://corpus.canterbury.ac.nz/descriptions/,Upstream files retain their original terms; use for reproducible compression research and do not redistribute without checking each source.,7467306ee0feed4971260f3c87421154a05be571d944e9cb021a5713700c38f0,152089,false,datasets/data/canterbury/alice29.txt,true
development,dev-canterbury-asyoulik-txt,legacy-canterbury,real,true,standard-text,https://corpus.canterbury.ac.nz/descriptions/,Upstream files retain their original terms; use for reproducible compression research and do not redistribute without checking each source.,eaa3526fe53859f34ecdf255712f9ecf0b2c903451d4755b2edaa2e2599cb0fc,125179,false,datasets/data/canterbury/asyoulik.txt,true
development,dev-canterbury-cp-html,legacy-canterbury,real,true,standard-text,https://corpus.canterbury.ac.nz/descriptions/,Upstream files retain their original terms; use for reproducible compression research and do not redistribute without checking each source.,e0cd21cef5b6c4069461e949be100080c3ce887de6f1dd8626c480528efaaf61,24603,false,datasets/data/canterbury/cp.html,true
development,dev-canterbury-fields-c,legacy-canterbury,real,true,standard-text,https://corpus.canterbury.ac.nz/descriptions/,Upstream files retain their original terms; use for reproducible compression research and do not redistribute without checking each source.,85d73e354cc50cec76cb5a50537cf8dc035f8cbb8480f9e1cbe2f7d6c23393c7,11150,false,datasets/data/canterbury/fields.c,true
development,dev-canterbury-grammar-lsp,legacy-canterbury,real,true,standard-text,https://corpus.canterbury.ac.nz/descriptions/,Upstream files retain their original terms; use for reproducible compression research and do not redistribute without checking each source.,1b0805dfc0ae706b35aac2bb4e15f02485efd24dda5dbd29de7b2f84d1a88c15,3721,false,datasets/data/canterbury/grammar.lsp,true
development,dev-canterbury-kennedy-xls,legacy-canterbury,real,true,standard-tabular,https://corpus.canterbury.ac.nz/descriptions/,Upstream files retain their original terms; use for reproducible compression research and do not redistribute without checking each source.,9af47239ca29dfe20e633f80bbbb9a4cc9783d0803d7b2b5626f42e4c3790420,1029744,false,datasets/data/canterbury/kennedy.xls,true
development,dev-canterbury-lcet10-txt,legacy-canterbury,real,true,standard-text,https://corpus.canterbury.ac.nz/descriptions/,Upstream files retain their original terms; use for reproducible compression research and do not redistribute without checking each source.,5314ba1dbb03f471df88bec6cd120a938ef60d0fd3511c5c1dce61bf7463245f,426754,false,datasets/data/canterbury/lcet10.txt,true
development,dev-canterbury-plrabn12-txt,legacy-canterbury,real,true,standard-text,https://corpus.canterbury.ac.nz/descriptions/,Upstream files retain their original terms; use for reproducible compression research and do not redistribute without checking each source.,07e2e0b461af78c7c647cb53dab39de560198e16f799b4516eccf0fbd69f764c,481861,false,datasets/data/canterbury/plrabn12.txt,true
development,dev-canterbury-sum,legacy-canterbury,real,true,standard-mixed,https://corpus.canterbury.ac.nz/descriptions/,Upstream files retain their original terms; use for reproducible compression research and do not redistribute without checking each source.,ee5733cd76ecc2f9d8ff156adc3c02a7a851051dcf43a2d56ff4ee4ff606bdb3,38240,false,datasets/data/canterbury/sum,true
development,dev-canterbury-xargs-1,legacy-canterbury,real,true,standard-mixed,https://corpus.canterbury.ac.nz/descriptions/,Upstream files retain their original terms; use for reproducible compression research and do not redistribute without checking each source.,c58aeb5d2d1e12751d47e7412b45784405fc30a5671b03d480fa05776e183619,4227,false,datasets/data/canterbury/xargs.1,true
development,dev-control-cryptographic-random,legacy-synthetic-seed-1297748005,control,false,incompressible-control-cryptographic-random,python/mathzip_bench/synthetic.py; manifest=datasets/synthetic/manifest.json; seed=1297748005,Generated by MathZip; CC0-1.0,9e4d8d3305ce218314fdc3746942be9b9f0df4e3f1673227fcd510319189dbdc,65536,false,datasets/synthetic/random/s0000065536_n000p000_seed1297748005.bin,true
development,dev-control-encrypted,legacy-synthetic-seed-1297748005,control,false,incompressible-control-encrypted,python/mathzip_bench/synthetic.py; manifest=datasets/synthetic/manifest.json; seed=1297748005,Generated by MathZip; CC0-1.0,b969846e9e65622b93bb8995716144826925e5a9eba686cd646014b4df7ac5af,65536,false,datasets/synthetic/encrypted/s0000065536_n000p000_seed1297748005.bin,true
