split,dataset_id,split_group,origin,primary,domain,source,license,sha256,bytes,sealed,path,legacy_observed
development,real-canterbury-kennedy,legacy-canterbury,real,true,spreadsheet,https://corpus.canterbury.ac.nz/resources/cantrbry.tar.gz,upstream-individual-terms,9af47239ca29dfe20e633f80bbbb9a4cc9783d0803d7b2b5626f42e4c3790420,1029744,false,datasets/data/canterbury/kennedy.xls,true
development,real-canterbury-alice,legacy-canterbury,real,true,text,https://corpus.canterbury.ac.nz/resources/cantrbry.tar.gz,upstream-individual-terms,7467306ee0feed4971260f3c87421154a05be571d944e9cb021a5713700c38f0,152089,false,datasets/data/canterbury/alice29.txt,true
development,real-calgary-progc,legacy-calgary,real,true,source-code,https://corpus.canterbury.ac.nz/resources/calgary.tar.gz,upstream-individual-terms,151377a9d6aa9b7e872000269707a15e2b038c826340628e6f4d8b4db9ec3c19,39611,false,datasets/data/calgary/progc,true
development,syn-constant,legacy-synthetic,synthetic,false,exact-generator,python/mathzip_bench/synthetic.py,CC0-1.0,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,4096,false,datasets/synthetic/constant_00/s0000004096_n000p000_seed1297748005.bin,true
development,syn-linear,legacy-synthetic,synthetic,false,exact-generator,python/mathzip_bench/synthetic.py,CC0-1.0,29ddd8df947f12dda43d4614877c4f839f4bf4339f1f2092ea662911a4fcf139,4096,false,datasets/synthetic/linear/s0000004096_n000p000_seed1297748005.bin,true
development,syn-linear-noise1,legacy-synthetic,synthetic,false,noisy-generator,python/mathzip_bench/synthetic.py,CC0-1.0,9fe194c8db72692b5793e17c7c746b6e4712efbcd4967e537e32f8e38c547169,4096,false,datasets/synthetic/linear/s0000004096_n001p000_seed1297748005.bin,true
development,syn-periodic,legacy-synthetic,synthetic,false,exact-generator,python/mathzip_bench/synthetic.py,CC0-1.0,8915369e240a7c1e4e01beaa91ef99ca933311ed3ec5dc26147876e63bfcce31,4096,false,datasets/synthetic/periodic/s0000004096_n000p000_seed1297748005.bin,true
development,syn-periodic-noise1,legacy-synthetic,synthetic,false,noisy-generator,python/mathzip_bench/synthetic.py,CC0-1.0,c3300c259e85ef3377003c5ebc70b31699634b64d71c4042b5d1dc1a676783a2,4096,false,datasets/synthetic/periodic/s0000004096_n001p000_seed1297748005.bin,true
development,syn-piecewise,legacy-synthetic,synthetic,false,mixed-generator,python/mathzip_bench/synthetic.py,CC0-1.0,d457c5766accb381882199def16f9ea00d16b8d49f10183a0b3d0f20f6dccd46,4096,false,datasets/synthetic/piecewise_mixed/s0000004096_n000p000_seed1297748005.bin,true
development,syn-random,legacy-synthetic,control,false,incompressible-control,python/mathzip_bench/synthetic.py,CC0-1.0,6c6b8fcb18143838e2a9c45cf658f7874a5ae3c8bc2696011804cccac322c168,4096,false,datasets/synthetic/random/s0000004096_n000p000_seed1297748005.bin,true
development,syn-recurrence,legacy-synthetic,synthetic,false,exact-generator,python/mathzip_bench/synthetic.py,CC0-1.0,e421cc48c94607e9e57e7c690c6859b350dd420e29673666ab3618bdc630d283,4096,false,datasets/synthetic/recurrence/s0000004096_n000p000_seed1297748005.bin,true
development,syn-recurrence-noise1,legacy-synthetic,synthetic,false,noisy-generator,python/mathzip_bench/synthetic.py,CC0-1.0,907189eb629d95187257f4ca58d46f7bdc825d7b29b3b5a2a8a5a7a5d6c1b3e1,4096,false,datasets/synthetic/recurrence/s0000004096_n001p000_seed1297748005.bin,true
development,real-calgary-pic,legacy-calgary,real,true,bitmap,https://corpus.canterbury.ac.nz/resources/calgary.tar.gz,upstream-individual-terms,0ec3a75089bb52342813496b17e51377bc9eba3cb519a444d67025354841d650,513216,false,datasets/data/calgary/pic,true
