input_id,origin,sample_bytes,status,block_count,inline_bytes,graph_candidate_bytes,oracle_bytes,headroom_bytes,headroom_percent,active_definitions,referenced_source_bytes,evaluated_subsets,work_used,ledger_entries,budget_exhausted,complete_within_declared_catalogue,source,notes
real-canterbury-kennedy,real,4096,ok,1,2737,4580,2737,0,0.000000000,0,0,1,4096,1,false,true,datasets/data/canterbury/kennedy.xls,Natural development microblock. Graph archive competes against the current Canonical/LZ-Huffman-aware native function winner.
real-canterbury-alice,real,4096,ok,1,2977,4580,2977,0,0.000000000,0,0,1,4096,1,false,true,datasets/data/canterbury/alice29.txt,Natural development microblock. Graph archive competes against the current Canonical/LZ-Huffman-aware native function winner.
real-calgary-progc,real,4096,ok,1,3131,4580,3131,0,0.000000000,0,0,1,4096,1,false,true,datasets/data/calgary/progc,Natural development microblock. Graph archive competes against the current Canonical/LZ-Huffman-aware native function winner.
syn-random,control,4096,ok,1,4580,4580,4580,0,0.000000000,0,0,1,4096,1,false,true,datasets/synthetic/random/s0000004096_n000p000_seed1297748005.bin,Natural development microblock. Graph archive competes against the current Canonical/LZ-Huffman-aware native function winner.
real-calgary-pic,real,4096,ok,1,483,873,483,0,0.000000000,1,4096,2,8192,2,false,true,datasets/data/calgary/pic,Natural development microblock. Graph archive competes against the current Canonical/LZ-Huffman-aware native function winner.
syn-constant,synthetic,4096,ok,1,483,873,483,0,0.000000000,1,4096,2,8192,2,false,true,datasets/synthetic/constant_00/s0000004096_n000p000_seed1297748005.bin,Natural development microblock. Graph archive competes against the current Canonical/LZ-Huffman-aware native function winner.
syn-linear,synthetic,4096,ok,1,487,1083,487,0,0.000000000,4,4096,16,65536,16,false,true,datasets/synthetic/linear/s0000004096_n000p000_seed1297748005.bin,Natural development microblock. Graph archive competes against the current Canonical/LZ-Huffman-aware native function winner.
syn-linear-noise1,synthetic,4096,ok,1,583,3053,583,0,0.000000000,4,2048,16,65536,16,false,true,datasets/synthetic/linear/s0000004096_n001p000_seed1297748005.bin,Natural development microblock. Graph archive competes against the current Canonical/LZ-Huffman-aware native function winner.
syn-piecewise,synthetic,4096,ok,1,2143,3772,2143,0,0.000000000,4,1216,16,65536,16,false,true,datasets/synthetic/piecewise_mixed/s0000004096_n000p000_seed1297748005.bin,Natural development microblock. Graph archive competes against the current Canonical/LZ-Huffman-aware native function winner.
syn-recurrence,synthetic,4096,ok,1,491,1223,491,0,0.000000000,6,4096,64,262144,64,false,true,datasets/synthetic/recurrence/s0000004096_n000p000_seed1297748005.bin,Natural development microblock. Graph archive competes against the current Canonical/LZ-Huffman-aware native function winner.
syn-recurrence-noise1,synthetic,4096,ok,1,590,3197,590,0,0.000000000,6,2048,64,262144,64,false,true,datasets/synthetic/recurrence/s0000004096_n001p000_seed1297748005.bin,Natural development microblock. Graph archive competes against the current Canonical/LZ-Huffman-aware native function winner.
syn-periodic,synthetic,4096,ok,1,492,1293,492,0,0.000000000,7,4096,128,524288,128,false,true,datasets/synthetic/periodic/s0000004096_n000p000_seed1297748005.bin,Natural development microblock. Graph archive competes against the current Canonical/LZ-Huffman-aware native function winner.
syn-periodic-noise1,synthetic,4096,ok,1,589,3206,589,0,0.000000000,7,2112,128,524288,128,false,true,datasets/synthetic/periodic/s0000004096_n001p000_seed1297748005.bin,Natural development microblock. Graph archive competes against the current Canonical/LZ-Huffman-aware native function winner.
