scope,status,current_codec,baseline_codec,input_count,original_bytes,current_bytes,baseline_bytes,size_gap_bytes,size_gap_percent,compression_slowdown,decompression_slowdown,peak_rss_ratio,source,notes
all,not_run_current_pilot,mathsvg-balanced-v1,brotli,0,,,,,,,,,mathsvg/results/raw/development-pilot-v8-final-binary.jsonl,Brotli was not scheduled in this current development pilot.
strict-real-primary,not_run_current_pilot,mathsvg-balanced-v1,brotli,0,,,,,,,,,mathsvg/results/raw/development-pilot-v8-final-binary.jsonl,Brotli was not scheduled in this current development pilot.
synthetic,not_run_current_pilot,mathsvg-balanced-v1,brotli,0,,,,,,,,,mathsvg/results/raw/development-pilot-v8-final-binary.jsonl,Brotli was not scheduled in this current development pilot.
synthetic,current_native_development,mathsvg-balanced-v1,zstd-default,7,458752,17060,14254,2806,19.685702259,3.645720426,1.229242343,1.558885017,mathsvg/results/raw/development-pilot-v8-final-binary.jsonl,Current completed development pilot; paired per-input medians from 10 measured repetitions. Captured runner identity is in oracle-manifest.json; no baseline payload is embedded.
synthetic,current_native_development,mathsvg-balanced-v1,xz-9e,7,458752,17060,14464,2596,17.948008850,1.069092050,1.225565861,0.119141457,mathsvg/results/raw/development-pilot-v8-final-binary.jsonl,Current completed development pilot; paired per-input medians from 10 measured repetitions. Captured runner identity is in oracle-manifest.json; no baseline payload is embedded.
synthetic,current_native_development,mathsvg-balanced-v1,gzip-6,7,458752,17060,15493,1567,10.114245143,3.785640532,1.234116926,2.708232446,mathsvg/results/raw/development-pilot-v8-final-binary.jsonl,Current completed development pilot; paired per-input medians from 10 measured repetitions. Captured runner identity is in oracle-manifest.json; no baseline payload is embedded.
synthetic,current_native_development,mathsvg-balanced-v1,lz4,7,458752,17060,16004,1056,6.598350412,3.771459843,1.235313264,2.631764706,mathsvg/results/raw/development-pilot-v8-final-binary.jsonl,Current completed development pilot; paired per-input medians from 10 measured repetitions. Captured runner identity is in oracle-manifest.json; no baseline payload is embedded.
strict-real-primary,current_native_development,mathsvg-balanced-v1,xz-9e,3,9656073,7119337,4591660,2527677,55.049306787,1.097252442,1.970620705,0.181819457,mathsvg/results/raw/development-pilot-v8-final-binary.jsonl,Current completed development pilot; paired per-input medians from 10 measured repetitions. Captured runner identity is in oracle-manifest.json; no baseline payload is embedded.
all,current_native_development,mathsvg-balanced-v1,xz-9e,10,10114825,7136397,4606124,2530273,54.932802504,1.096567239,1.897612727,0.181819457,mathsvg/results/raw/development-pilot-v8-final-binary.jsonl,Current completed development pilot; paired per-input medians from 10 measured repetitions. Captured runner identity is in oracle-manifest.json; no baseline payload is embedded.
strict-real-primary,current_native_development,mathsvg-balanced-v1,zstd-default,3,9656073,7119337,6255024,864313,13.817900619,36.160679008,12.172290550,1.373622881,mathsvg/results/raw/development-pilot-v8-final-binary.jsonl,Current completed development pilot; paired per-input medians from 10 measured repetitions. Captured runner identity is in oracle-manifest.json; no baseline payload is embedded.
all,current_native_development,mathsvg-balanced-v1,zstd-default,10,10114825,7136397,6269278,867119,13.831241811,29.846057861,7.785812969,1.373622881,mathsvg/results/raw/development-pilot-v8-final-binary.jsonl,Current completed development pilot; paired per-input medians from 10 measured repetitions. Captured runner identity is in oracle-manifest.json; no baseline payload is embedded.
strict-real-primary,current_native_development,mathsvg-balanced-v1,gzip-6,3,9656073,7119337,6298978,820359,13.023684160,14.449621415,5.800005509,12.737721022,mathsvg/results/raw/development-pilot-v8-final-binary.jsonl,Current completed development pilot; paired per-input medians from 10 measured repetitions. Captured runner identity is in oracle-manifest.json; no baseline payload is embedded.
all,current_native_development,mathsvg-balanced-v1,gzip-6,10,10114825,7136397,6314471,821926,13.016545646,13.544506639,4.699624048,12.737721022,mathsvg/results/raw/development-pilot-v8-final-binary.jsonl,Current completed development pilot; paired per-input medians from 10 measured repetitions. Captured runner identity is in oracle-manifest.json; no baseline payload is embedded.
strict-real-primary,current_native_development,mathsvg-balanced-v1,lz4,3,9656073,7119337,8870075,-1750738,-19.737578318,104.580664622,12.295853366,2.662628337,mathsvg/results/raw/development-pilot-v8-final-binary.jsonl,Current completed development pilot; paired per-input medians from 10 measured repetitions. Captured runner identity is in oracle-manifest.json; no baseline payload is embedded.
all,current_native_development,mathsvg-balanced-v1,lz4,10,10114825,7136397,8886079,-1749682,-19.690146802,63.999313868,7.848530058,2.662628337,mathsvg/results/raw/development-pilot-v8-final-binary.jsonl,Current completed development pilot; paired per-input medians from 10 measured repetitions. Captured runner identity is in oracle-manifest.json; no baseline payload is embedded.
