evidence_kind,input_id,origin,sample_bytes,status,family,baseline,baseline_bytes,oracle_bytes,headroom_bytes,headroom_percent,winner,complete_within_declared_catalogue,source,notes
native_complete_archive_family_ledger,real-calgary-pic,real,4096,bounded_incomplete,const_exact,native-complete-raw-literal-archive,4580,483,4097,89.454148472,const_exact,false,datasets/data/calgary/pic,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,syn-constant,synthetic,4096,bounded_incomplete,const_exact,native-complete-raw-literal-archive,4580,483,4097,89.454148472,const_exact,false,datasets/synthetic/constant_00/s0000004096_n000p000_seed1297748005.bin,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,syn-random,control,4096,bounded_incomplete,entropy_literal,native-complete-raw-literal-archive,4580,4580,0,0.000000000,literal,false,datasets/synthetic/random/s0000004096_n000p000_seed1297748005.bin,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,real-calgary-progc,real,4096,bounded_incomplete,entropy_literal,native-complete-raw-literal-archive,4580,3131,1449,31.637554585,entropy_literal,false,datasets/data/calgary/progc,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,real-canterbury-alice,real,4096,bounded_incomplete,entropy_literal,native-complete-raw-literal-archive,4580,2977,1603,35.000000000,entropy_literal,false,datasets/data/canterbury/alice29.txt,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,real-canterbury-kennedy,real,4096,bounded_incomplete,entropy_literal,native-complete-raw-literal-archive,4580,2737,1843,40.240174672,entropy_literal,false,datasets/data/canterbury/kennedy.xls,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,syn-piecewise,synthetic,4096,bounded_incomplete,entropy_literal,native-complete-raw-literal-archive,4580,2143,2437,53.209606987,entropy_literal,false,datasets/synthetic/piecewise_mixed/s0000004096_n000p000_seed1297748005.bin,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,syn-recurrence-noise1,synthetic,4096,bounded_incomplete,entropy_literal,native-complete-raw-literal-archive,4580,1202,3378,73.755458515,entropy_literal,false,datasets/synthetic/recurrence/s0000004096_n001p000_seed1297748005.bin,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,syn-linear-noise1,synthetic,4096,bounded_incomplete,entropy_literal,native-complete-raw-literal-archive,4580,1078,3502,76.462882096,entropy_literal,false,datasets/synthetic/linear/s0000004096_n001p000_seed1297748005.bin,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,syn-recurrence,synthetic,4096,bounded_incomplete,entropy_literal,native-complete-raw-literal-archive,4580,879,3701,80.807860262,entropy_literal,false,datasets/synthetic/recurrence/s0000004096_n000p000_seed1297748005.bin,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,syn-periodic-noise1,synthetic,4096,bounded_incomplete,entropy_literal,native-complete-raw-literal-archive,4580,852,3728,81.397379913,entropy_literal,false,datasets/synthetic/periodic/s0000004096_n001p000_seed1297748005.bin,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,syn-linear,synthetic,4096,bounded_incomplete,entropy_literal,native-complete-raw-literal-archive,4580,751,3829,83.602620087,entropy_literal,false,datasets/synthetic/linear/s0000004096_n000p000_seed1297748005.bin,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,syn-periodic,synthetic,4096,bounded_incomplete,entropy_literal,native-complete-raw-literal-archive,4580,497,4083,89.148471616,entropy_literal,false,datasets/synthetic/periodic/s0000004096_n000p000_seed1297748005.bin,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,real-calgary-pic,real,4096,bounded_incomplete,entropy_literal,native-complete-raw-literal-archive,4580,487,4093,89.366812227,entropy_literal,false,datasets/data/calgary/pic,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,syn-constant,synthetic,4096,bounded_incomplete,entropy_literal,native-complete-raw-literal-archive,4580,487,4093,89.366812227,entropy_literal,false,datasets/synthetic/constant_00/s0000004096_n000p000_seed1297748005.bin,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,real-calgary-pic,real,4096,bounded_incomplete,linear_exact,native-complete-raw-literal-archive,4580,487,4093,89.366812227,linear_exact,false,datasets/data/calgary/pic,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,syn-constant,synthetic,4096,bounded_incomplete,linear_exact,native-complete-raw-literal-archive,4580,487,4093,89.366812227,linear_exact,false,datasets/synthetic/constant_00/s0000004096_n000p000_seed1297748005.bin,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,syn-linear,synthetic,4096,bounded_incomplete,linear_exact,native-complete-raw-literal-archive,4580,487,4093,89.366812227,linear_exact,false,datasets/synthetic/linear/s0000004096_n000p000_seed1297748005.bin,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,syn-linear-noise1,synthetic,4096,bounded_incomplete,linear_exceptions,native-complete-raw-literal-archive,4580,583,3997,87.270742358,linear_exceptions,false,datasets/synthetic/linear/s0000004096_n001p000_seed1297748005.bin,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,real-calgary-pic,real,4096,bounded_incomplete,literal,native-complete-raw-literal-archive,4580,4580,0,0.000000000,literal,false,datasets/data/calgary/pic,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,real-calgary-progc,real,4096,bounded_incomplete,literal,native-complete-raw-literal-archive,4580,4580,0,0.000000000,literal,false,datasets/data/calgary/progc,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,real-canterbury-alice,real,4096,bounded_incomplete,literal,native-complete-raw-literal-archive,4580,4580,0,0.000000000,literal,false,datasets/data/canterbury/alice29.txt,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,real-canterbury-kennedy,real,4096,bounded_incomplete,literal,native-complete-raw-literal-archive,4580,4580,0,0.000000000,literal,false,datasets/data/canterbury/kennedy.xls,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,syn-constant,synthetic,4096,bounded_incomplete,literal,native-complete-raw-literal-archive,4580,4580,0,0.000000000,literal,false,datasets/synthetic/constant_00/s0000004096_n000p000_seed1297748005.bin,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,syn-linear,synthetic,4096,bounded_incomplete,literal,native-complete-raw-literal-archive,4580,4580,0,0.000000000,literal,false,datasets/synthetic/linear/s0000004096_n000p000_seed1297748005.bin,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,syn-linear-noise1,synthetic,4096,bounded_incomplete,literal,native-complete-raw-literal-archive,4580,4580,0,0.000000000,literal,false,datasets/synthetic/linear/s0000004096_n001p000_seed1297748005.bin,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,syn-periodic,synthetic,4096,bounded_incomplete,literal,native-complete-raw-literal-archive,4580,4580,0,0.000000000,literal,false,datasets/synthetic/periodic/s0000004096_n000p000_seed1297748005.bin,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,syn-periodic-noise1,synthetic,4096,bounded_incomplete,literal,native-complete-raw-literal-archive,4580,4580,0,0.000000000,literal,false,datasets/synthetic/periodic/s0000004096_n001p000_seed1297748005.bin,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,syn-piecewise,synthetic,4096,bounded_incomplete,literal,native-complete-raw-literal-archive,4580,4580,0,0.000000000,literal,false,datasets/synthetic/piecewise_mixed/s0000004096_n000p000_seed1297748005.bin,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,syn-random,control,4096,bounded_incomplete,literal,native-complete-raw-literal-archive,4580,4580,0,0.000000000,literal,false,datasets/synthetic/random/s0000004096_n000p000_seed1297748005.bin,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,syn-recurrence,synthetic,4096,bounded_incomplete,literal,native-complete-raw-literal-archive,4580,4580,0,0.000000000,literal,false,datasets/synthetic/recurrence/s0000004096_n000p000_seed1297748005.bin,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,syn-recurrence-noise1,synthetic,4096,bounded_incomplete,literal,native-complete-raw-literal-archive,4580,4580,0,0.000000000,literal,false,datasets/synthetic/recurrence/s0000004096_n001p000_seed1297748005.bin,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,syn-periodic,synthetic,4096,bounded_incomplete,periodic_exact,native-complete-raw-literal-archive,4580,492,4088,89.257641921,periodic_exact,false,datasets/synthetic/periodic/s0000004096_n000p000_seed1297748005.bin,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,real-calgary-pic,real,4096,bounded_incomplete,periodic_exact,native-complete-raw-literal-archive,4580,485,4095,89.410480349,periodic_exact,false,datasets/data/calgary/pic,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,syn-constant,synthetic,4096,bounded_incomplete,periodic_exact,native-complete-raw-literal-archive,4580,485,4095,89.410480349,periodic_exact,false,datasets/synthetic/constant_00/s0000004096_n000p000_seed1297748005.bin,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,syn-periodic-noise1,synthetic,4096,bounded_incomplete,periodic_exceptions,native-complete-raw-literal-archive,4580,589,3991,87.139737991,periodic_exceptions,false,datasets/synthetic/periodic/s0000004096_n001p000_seed1297748005.bin,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,syn-linear,synthetic,4096,bounded_incomplete,recurrence_exact,native-complete-raw-literal-archive,4580,492,4088,89.257641921,recurrence_exact,false,datasets/synthetic/linear/s0000004096_n000p000_seed1297748005.bin,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,syn-recurrence,synthetic,4096,bounded_incomplete,recurrence_exact,native-complete-raw-literal-archive,4580,491,4089,89.279475983,recurrence_exact,false,datasets/synthetic/recurrence/s0000004096_n000p000_seed1297748005.bin,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,real-calgary-pic,real,4096,bounded_incomplete,recurrence_exact,native-complete-raw-literal-archive,4580,489,4091,89.323144105,recurrence_exact,false,datasets/data/calgary/pic,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,syn-constant,synthetic,4096,bounded_incomplete,recurrence_exact,native-complete-raw-literal-archive,4580,489,4091,89.323144105,recurrence_exact,false,datasets/synthetic/constant_00/s0000004096_n000p000_seed1297748005.bin,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,syn-recurrence-noise1,synthetic,4096,bounded_incomplete,recurrence_exceptions,native-complete-raw-literal-archive,4580,590,3990,87.117903930,recurrence_exceptions,false,datasets/synthetic/recurrence/s0000004096_n001p000_seed1297748005.bin,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
native_complete_archive_family_ledger,syn-linear-noise1,synthetic,4096,bounded_incomplete,recurrence_exceptions,native-complete-raw-literal-archive,4580,588,3992,87.161572052,recurrence_exceptions,false,datasets/synthetic/linear/s0000004096_n001p000_seed1297748005.bin,Minimum exact complete archive row retained for this native family; includes current entropy metadata and container bytes.
