schema,scope,dataset_id,origin,policy,input_bytes,block_count,complete,budget_stop_blocks,winning_blocks,baseline_full_archive_bytes,portfolio_full_archive_bytes,saved_full_archive_bytes,gain_fraction,baseline_search_ns_median,portfolio_search_ns_median,search_slowdown,timing_evidence_status,retention_pass,retention_reason
mathsvg-lzh-chain-lazy-oracle-v1,file,dev-canterbury-alice29-txt,real,C4,152089,1,true,0,1,80481,74917,5564,0.069134329842,14240166,30373555,2.132949503538,development-directional-gui-host,,
mathsvg-lzh-chain-lazy-oracle-v1,file,dev-canterbury-alice29-txt,real,C8,152089,1,true,0,1,80481,73219,7262,0.090232477231,,,,unavailable-size-run-concurrent,,
mathsvg-lzh-chain-lazy-oracle-v1,file,dev-canterbury-alice29-txt,real,C16,152089,1,true,0,1,80481,72298,8183,0.101676172016,,,,unavailable-size-run-concurrent,,
mathsvg-lzh-chain-lazy-oracle-v1,file,dev-canterbury-alice29-txt,real,C4L,152089,1,true,0,1,80481,73860,6621,0.082267864465,14742873,36699369,2.489295607444,development-directional-gui-host,,
mathsvg-lzh-chain-lazy-oracle-v1,file,dev-canterbury-alice29-txt,real,C8L,152089,1,true,0,1,80481,72196,8285,0.102943551894,14248070,39524402,2.774017954712,development-directional-gui-host,,
mathsvg-lzh-chain-lazy-oracle-v1,file,dev-canterbury-alice29-txt,real,C16L,152089,1,true,0,1,80481,71122,9359,0.116288316497,14301912,46357843,3.241373810718,development-directional-gui-host,,
mathsvg-lzh-chain-lazy-oracle-v1,file,dev-canterbury-kennedy-xls,real,C4,1029744,1,true,0,1,261046,254318,6728,0.025773235368,45940449,100457944,2.186699220114,development-directional-gui-host,,
mathsvg-lzh-chain-lazy-oracle-v1,file,dev-canterbury-kennedy-xls,real,C8,1029744,1,true,0,1,261046,251469,9577,0.036687020678,,,,unavailable-size-run-concurrent,,
mathsvg-lzh-chain-lazy-oracle-v1,file,dev-canterbury-kennedy-xls,real,C16,1029744,1,true,0,1,261046,249343,11703,0.044831179179,,,,unavailable-size-run-concurrent,,
mathsvg-lzh-chain-lazy-oracle-v1,file,dev-canterbury-kennedy-xls,real,C4L,1029744,1,true,0,1,261046,243978,17068,0.065383112555,46157731,119002193,2.578163839986,development-directional-gui-host,,
mathsvg-lzh-chain-lazy-oracle-v1,file,dev-canterbury-kennedy-xls,real,C8L,1029744,1,true,0,1,261046,243126,17920,0.068646905143,46045087,160838140,3.493057576371,development-directional-gui-host,,
mathsvg-lzh-chain-lazy-oracle-v1,file,dev-canterbury-kennedy-xls,real,C16L,1029744,1,true,0,1,261046,243216,17830,0.068302138320,46194755,244571183,5.294349607439,development-directional-gui-host,,
mathsvg-lzh-chain-lazy-oracle-v1,file,dev-calgary-progc,real,C4,39611,1,true,0,1,19431,18434,997,0.051309762750,3999441,7730486,1.932891621604,development-directional-gui-host,,
mathsvg-lzh-chain-lazy-oracle-v1,file,dev-calgary-progc,real,C8,39611,1,true,0,1,19431,18193,1238,0.063712624157,,,,unavailable-size-run-concurrent,,
mathsvg-lzh-chain-lazy-oracle-v1,file,dev-calgary-progc,real,C16,39611,1,true,0,1,19431,18070,1361,0.070042715249,,,,unavailable-size-run-concurrent,,
mathsvg-lzh-chain-lazy-oracle-v1,file,dev-calgary-progc,real,C4L,39611,1,true,0,1,19431,18017,1414,0.072770315475,4000616,8493731,2.123105791708,development-directional-gui-host,,
mathsvg-lzh-chain-lazy-oracle-v1,file,dev-calgary-progc,real,C8L,39611,1,true,0,1,19431,17801,1630,0.083886573002,4007047,9212379,2.299044408513,development-directional-gui-host,,
mathsvg-lzh-chain-lazy-oracle-v1,file,dev-calgary-progc,real,C16L,39611,1,true,0,1,19431,17683,1748,0.089959343317,4003855,10033671,2.506002590004,development-directional-gui-host,,
mathsvg-lzh-chain-lazy-oracle-v1,file,dev-calgary-pic,real,C4,513216,1,true,0,1,69917,67161,2756,0.039418167255,21531308,40738119,1.892041068754,development-directional-gui-host,,
mathsvg-lzh-chain-lazy-oracle-v1,file,dev-calgary-pic,real,C8,513216,1,true,0,1,69917,66839,3078,0.044023628016,,,,unavailable-size-run-concurrent,,
mathsvg-lzh-chain-lazy-oracle-v1,file,dev-calgary-pic,real,C16,513216,1,true,0,1,69917,66629,3288,0.047027189382,,,,unavailable-size-run-concurrent,,
mathsvg-lzh-chain-lazy-oracle-v1,file,dev-calgary-pic,real,C4L,513216,1,true,0,1,69917,63932,5985,0.085601498920,21579642,44480835,2.061240635966,development-directional-gui-host,,
mathsvg-lzh-chain-lazy-oracle-v1,file,dev-calgary-pic,real,C8L,513216,1,true,0,1,69917,63588,6329,0.090521618490,21630525,50800518,2.348556865818,development-directional-gui-host,,
mathsvg-lzh-chain-lazy-oracle-v1,file,dev-calgary-pic,real,C16L,513216,1,true,0,1,69917,63346,6571,0.093982865398,21573034,61585845,2.854760484779,development-directional-gui-host,,
mathsvg-lzh-chain-lazy-oracle-v1,file,dev-calgary-book1,real,C4,768771,1,true,0,1,439037,422164,16873,0.038431840597,49562149,133583449,2.695271526664,development-directional-gui-host,,
mathsvg-lzh-chain-lazy-oracle-v1,file,dev-calgary-book1,real,C8,768771,1,true,0,1,439037,414795,24242,0.055216302954,,,,unavailable-size-run-concurrent,,
mathsvg-lzh-chain-lazy-oracle-v1,file,dev-calgary-book1,real,C16,768771,1,true,0,1,439037,410633,28404,0.064696141783,,,,unavailable-size-run-concurrent,,
mathsvg-lzh-chain-lazy-oracle-v1,file,dev-calgary-book1,real,C4L,768771,1,true,0,1,439037,416075,22962,0.052300831137,49611213,156289635,3.150288524491,development-directional-gui-host,,
mathsvg-lzh-chain-lazy-oracle-v1,file,dev-calgary-book1,real,C8L,768771,1,true,0,1,439037,408635,30402,0.069247011072,49459281,186001505,3.760699736011,development-directional-gui-host,,
mathsvg-lzh-chain-lazy-oracle-v1,file,dev-calgary-book1,real,C16L,768771,1,true,0,1,439037,404003,35034,0.079797374709,49561305,222187474,4.483083607262,development-directional-gui-host,,
mathsvg-lzh-chain-lazy-oracle-v1,file,dev-silesia-xml,real,C4,5345280,6,true,0,6,1334263,998058,336205,0.251978058299,285124872,530354476,1.860077910004,development-directional-gui-host,,
mathsvg-lzh-chain-lazy-oracle-v1,file,dev-silesia-xml,real,C8,5345280,6,true,0,6,1334263,942006,392257,0.293987767029,,,,unavailable-size-run-concurrent,,
mathsvg-lzh-chain-lazy-oracle-v1,file,dev-silesia-xml,real,C16,5345280,6,true,0,6,1334263,905720,428543,0.321183304941,,,,unavailable-size-run-concurrent,,
mathsvg-lzh-chain-lazy-oracle-v1,file,dev-silesia-xml,real,C4L,5345280,6,true,0,6,1334263,952523,381740,0.286105512931,285510502,595828212,2.086887199687,development-directional-gui-host,,
mathsvg-lzh-chain-lazy-oracle-v1,file,dev-silesia-xml,real,C8L,5345280,6,true,0,6,1334263,900805,433458,0.324866986494,286944682,680630465,2.371991912364,development-directional-gui-host,,
mathsvg-lzh-chain-lazy-oracle-v1,file,dev-silesia-xml,real,C16L,5345280,6,true,0,6,1334263,866870,467393,0.350300502974,286488371,796844635,2.781420524046,development-directional-gui-host,,
mathsvg-lzh-chain-lazy-oracle-v1,file,dev-silesia-osdb,real,C4,10085684,10,true,0,10,4391225,4253309,137916,0.031407181367,771041859,1635217031,2.120788919451,development-directional-gui-host,,
