input_id,origin,sample_bytes,status,baseline,baseline_bytes,oracle_bytes,headroom_bytes,headroom_percent,segment_count,boundaries,leaf_winners,quantum_bytes,work_used,ledger_entries,budget_exhausted,complete_within_declared_catalogue,source,notes
syn-piecewise,synthetic,4096,bounded_incomplete,native-unsplit-current-entropy,2143,2082,61,2.846476902,3,768;1280,mathsvg-functions;mathsvg-functions;mathsvg-functions,256,18814807,312,true,false,datasets/synthetic/piecewise_mixed/s0000004096_n000p000_seed1297748005.bin,Production optimizer DP at 256-byte quantum and Balanced hard caps; a bounded-incomplete row is not an exact segmentation optimum.
real-canterbury-kennedy,real,4096,bounded_incomplete,native-unsplit-current-entropy,2737,2737,0,0.000000000,1,,mathsvg-functions,256,25525466,312,true,false,datasets/data/canterbury/kennedy.xls,Production optimizer DP at 256-byte quantum and Balanced hard caps; a bounded-incomplete row is not an exact segmentation optimum.
real-canterbury-alice,real,4096,bounded_incomplete,native-unsplit-current-entropy,2977,2977,0,0.000000000,1,,mathsvg-functions,256,32220222,312,true,false,datasets/data/canterbury/alice29.txt,Production optimizer DP at 256-byte quantum and Balanced hard caps; a bounded-incomplete row is not an exact segmentation optimum.
real-calgary-progc,real,4096,bounded_incomplete,native-unsplit-current-entropy,3131,3131,0,0.000000000,1,,mathsvg-functions,256,23106775,312,true,false,datasets/data/calgary/progc,Production optimizer DP at 256-byte quantum and Balanced hard caps; a bounded-incomplete row is not an exact segmentation optimum.
syn-random,control,4096,bounded_incomplete,native-unsplit-current-entropy,4580,4580,0,0.000000000,1,,literal-archive,256,20944799,274,false,false,datasets/synthetic/random/s0000004096_n000p000_seed1297748005.bin,Production optimizer DP at 256-byte quantum and Balanced hard caps; a bounded-incomplete row is not an exact segmentation optimum.
real-calgary-pic,real,4096,bounded_incomplete,native-unsplit-current-entropy,483,483,0,0.000000000,1,,mathsvg-functions,256,18208826,312,true,false,datasets/data/calgary/pic,Production optimizer DP at 256-byte quantum and Balanced hard caps; a bounded-incomplete row is not an exact segmentation optimum.
syn-constant,synthetic,4096,bounded_incomplete,native-unsplit-current-entropy,483,483,0,0.000000000,1,,mathsvg-functions,256,18208826,312,true,false,datasets/synthetic/constant_00/s0000004096_n000p000_seed1297748005.bin,Production optimizer DP at 256-byte quantum and Balanced hard caps; a bounded-incomplete row is not an exact segmentation optimum.
syn-linear,synthetic,4096,bounded_incomplete,native-unsplit-current-entropy,487,487,0,0.000000000,1,,mathsvg-functions,256,18568250,312,true,false,datasets/synthetic/linear/s0000004096_n000p000_seed1297748005.bin,Production optimizer DP at 256-byte quantum and Balanced hard caps; a bounded-incomplete row is not an exact segmentation optimum.
syn-recurrence,synthetic,4096,bounded_incomplete,native-unsplit-current-entropy,491,491,0,0.000000000,1,,mathsvg-functions,256,18926850,312,true,false,datasets/synthetic/recurrence/s0000004096_n000p000_seed1297748005.bin,Production optimizer DP at 256-byte quantum and Balanced hard caps; a bounded-incomplete row is not an exact segmentation optimum.
syn-periodic,synthetic,4096,bounded_incomplete,native-unsplit-current-entropy,492,492,0,0.000000000,1,,mathsvg-functions,256,18208826,312,true,false,datasets/synthetic/periodic/s0000004096_n000p000_seed1297748005.bin,Production optimizer DP at 256-byte quantum and Balanced hard caps; a bounded-incomplete row is not an exact segmentation optimum.
syn-linear-noise1,synthetic,4096,bounded_incomplete,native-unsplit-current-entropy,583,583,0,0.000000000,1,,mathsvg-functions,256,18570121,312,true,false,datasets/synthetic/linear/s0000004096_n001p000_seed1297748005.bin,Production optimizer DP at 256-byte quantum and Balanced hard caps; a bounded-incomplete row is not an exact segmentation optimum.
syn-periodic-noise1,synthetic,4096,bounded_incomplete,native-unsplit-current-entropy,589,589,0,0.000000000,1,,mathsvg-functions,256,18210572,312,true,false,datasets/synthetic/periodic/s0000004096_n001p000_seed1297748005.bin,Production optimizer DP at 256-byte quantum and Balanced hard caps; a bounded-incomplete row is not an exact segmentation optimum.
syn-recurrence-noise1,synthetic,4096,bounded_incomplete,native-unsplit-current-entropy,590,590,0,0.000000000,1,,mathsvg-functions,256,18928622,312,true,false,datasets/synthetic/recurrence/s0000004096_n001p000_seed1297748005.bin,Production optimizer DP at 256-byte quantum and Balanced hard caps; a bounded-incomplete row is not an exact segmentation optimum.
