input_id,origin,sample_bytes,scope,status,depth_budget,node_budget,baseline_bytes,oracle_bytes,headroom_bytes,headroom_percent,winner,states_retained,pairs_considered,work_used,ledger_entries,budget_exhausted,complete_within_declared_catalogue,source,reason
syn-piecewise,synthetic,4096,development-microblock,bounded_incomplete,2,states=128;pairs=4096,2143,2143,0,0.000000000,base-function,4,0,67105200,10,true,false,datasets/synthetic/piecewise_mixed/s0000004096_n000p000_seed1297748005.bin,"Native residual-sensitive symbolic enumeration. A zero row is only a bounded-catalogue result, never a global impossibility claim."
real-canterbury-kennedy,real,4096,development-microblock,bounded_incomplete,2,states=128;pairs=4096,2737,2737,0,0.000000000,base-function,5,0,67105200,11,true,false,datasets/data/canterbury/kennedy.xls,"Native residual-sensitive symbolic enumeration. A zero row is only a bounded-catalogue result, never a global impossibility claim."
real-canterbury-alice,real,4096,development-microblock,bounded_incomplete,2,states=128;pairs=4096,2977,2977,0,0.000000000,base-function,5,0,67105200,11,true,false,datasets/data/canterbury/alice29.txt,"Native residual-sensitive symbolic enumeration. A zero row is only a bounded-catalogue result, never a global impossibility claim."
real-calgary-progc,real,4096,development-microblock,bounded_incomplete,2,states=128;pairs=4096,3131,3131,0,0.000000000,base-function,5,0,67105200,11,true,false,datasets/data/calgary/progc,"Native residual-sensitive symbolic enumeration. A zero row is only a bounded-catalogue result, never a global impossibility claim."
syn-random,control,4096,development-microblock,bounded_incomplete,2,states=128;pairs=4096,4580,4580,0,0.000000000,base-function,5,0,67105200,11,true,false,datasets/synthetic/random/s0000004096_n000p000_seed1297748005.bin,"Native residual-sensitive symbolic enumeration. A zero row is only a bounded-catalogue result, never a global impossibility claim."
real-calgary-pic,real,4096,development-microblock,bounded_incomplete,2,states=128;pairs=4096,483,483,0,0.000000000,base-function,3,0,67105200,12,true,false,datasets/data/calgary/pic,"Native residual-sensitive symbolic enumeration. A zero row is only a bounded-catalogue result, never a global impossibility claim."
syn-constant,synthetic,4096,development-microblock,bounded_incomplete,2,states=128;pairs=4096,483,483,0,0.000000000,base-function,3,0,67105200,12,true,false,datasets/synthetic/constant_00/s0000004096_n000p000_seed1297748005.bin,"Native residual-sensitive symbolic enumeration. A zero row is only a bounded-catalogue result, never a global impossibility claim."
syn-linear,synthetic,4096,development-microblock,bounded_incomplete,2,states=128;pairs=4096,487,487,0,0.000000000,base-function,5,0,67105200,12,true,false,datasets/synthetic/linear/s0000004096_n000p000_seed1297748005.bin,"Native residual-sensitive symbolic enumeration. A zero row is only a bounded-catalogue result, never a global impossibility claim."
syn-recurrence,synthetic,4096,development-microblock,bounded_incomplete,2,states=128;pairs=4096,491,491,0,0.000000000,base-function,4,0,67105200,10,true,false,datasets/synthetic/recurrence/s0000004096_n000p000_seed1297748005.bin,"Native residual-sensitive symbolic enumeration. A zero row is only a bounded-catalogue result, never a global impossibility claim."
syn-periodic,synthetic,4096,development-microblock,bounded_incomplete,2,states=128;pairs=4096,492,492,0,0.000000000,base-function,4,0,67105200,10,true,false,datasets/synthetic/periodic/s0000004096_n000p000_seed1297748005.bin,"Native residual-sensitive symbolic enumeration. A zero row is only a bounded-catalogue result, never a global impossibility claim."
syn-linear-noise1,synthetic,4096,development-microblock,bounded_incomplete,2,states=128;pairs=4096,583,583,0,0.000000000,base-function,5,0,67105200,11,true,false,datasets/synthetic/linear/s0000004096_n001p000_seed1297748005.bin,"Native residual-sensitive symbolic enumeration. A zero row is only a bounded-catalogue result, never a global impossibility claim."
syn-periodic-noise1,synthetic,4096,development-microblock,bounded_incomplete,2,states=128;pairs=4096,589,589,0,0.000000000,base-function,4,0,67105200,10,true,false,datasets/synthetic/periodic/s0000004096_n001p000_seed1297748005.bin,"Native residual-sensitive symbolic enumeration. A zero row is only a bounded-catalogue result, never a global impossibility claim."
syn-recurrence-noise1,synthetic,4096,development-microblock,bounded_incomplete,2,states=128;pairs=4096,590,590,0,0.000000000,base-function,4,0,67105200,10,true,false,datasets/synthetic/recurrence/s0000004096_n001p000_seed1297748005.bin,"Native residual-sensitive symbolic enumeration. A zero row is only a bounded-catalogue result, never a global impossibility claim."
