evidence_scope,experiment_id,machine_id,architecture,source_commit,config_sha256,dataset_manifest_sha256,randomization_seed,codec_executable_sha256,measurement_method,measurement_tool_sha256,split,codec,codec_config,profile,threads,native_mathsvg,dataset_id,row_scope,original_bytes,scheduled_measured_trials,successful_trials,failed_trials,timeout_trials,unavailable_trials,complete_repetitions,metric_status,roundtrip_all_successes,deterministic_archive_all_successes,archive_bytes_median,archive_fraction_median,compression_ratio_median,compression_wall_ns_median,compression_cpu_ns_median,compression_cpu_wall_fraction_median,decompression_wall_ns_median,decompression_cpu_ns_median,decompression_cpu_wall_fraction_median,compression_throughput_mb_s_median,decompression_throughput_mb_s_median,peak_rss_bytes_median,compression_peak_rss_bytes_median,decompression_peak_rss_bytes_median,procedural_evidence_status,literal_only_archive_bytes_median,pre_entropy_archive_bytes_median,procedural_gain_before_entropy_bytes_median,procedural_penalty_before_entropy_bytes_median,entropy_gain_bytes_median,entropy_penalty_bytes_median,function_reconstructed_bytes_median,literal_reconstructed_bytes_median,procedural_coverage_median,literal_fraction_median
development,development-pilot-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,11b86480168b3ebaf7804fd406249ff952cb8d13db49070654e1db28b10a167c,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,a91bd7ed31c78b88c8e42d19af79bd2aea2a2ed24f4e41abd0e8cfbb8ccf2f32,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,fast-v1,fast,1,true,dev-canterbury-alice29-txt,file,152089,5,5,0,0,0,5,complete,true,true,112415,0.73913958274431424,1.3529244317929101,166129628,130000000,0.77569587766688863,33626308,0,0,0.91548390152297221,4.522916997013172,5386240,5386240,3432448,exact,152577,152577,0,0,40162,0,0,152089,0,1
development,development-pilot-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,11b86480168b3ebaf7804fd406249ff952cb8d13db49070654e1db28b10a167c,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,a91bd7ed31c78b88c8e42d19af79bd2aea2a2ed24f4e41abd0e8cfbb8ccf2f32,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,fast-v1,fast,1,true,dev-canterbury-kennedy-xls,file,1029744,5,5,0,0,0,5,complete,true,true,457863,0.44463769635948353,2.2490220873929538,419899504,400000000,0.94696316642115586,66450056,40000000,0.60195585087242065,2.4523582195038744,15.496510642519247,16052224,16052224,5251072,exact,1030232,1030232,0,0,572369,0,0,1029744,0,1
development,development-pilot-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,11b86480168b3ebaf7804fd406249ff952cb8d13db49070654e1db28b10a167c,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,a91bd7ed31c78b88c8e42d19af79bd2aea2a2ed24f4e41abd0e8cfbb8ccf2f32,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,fast-v1,fast,1,true,dev-silesia-x-ray,file,8474240,5,5,0,0,0,5,complete,true,true,8474819,1.0000683247111246,0.99993167995682264,3389968736,3350000000,0.98928577138480001,416752092,370000000,0.88781797884772229,2.4997988654016896,20.334007105596005,22302720,22302720,8216576,exact,8476584,8476584,0,0,1765,0,0,8474240,0,1
development,development-pilot-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,11b86480168b3ebaf7804fd406249ff952cb8d13db49070654e1db28b10a167c,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,a91bd7ed31c78b88c8e42d19af79bd2aea2a2ed24f4e41abd0e8cfbb8ccf2f32,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,fast-v1,fast,1,true,dev-synthetic-linear,file,65536,5,5,0,0,0,5,complete,true,true,754,0.011505126953125,86.91777188328912,66856297,40000000,0.59829816778515266,10832451,0,0,0.9802517180991942,6.0499696698374175,4186112,4186112,3092480,exact,66024,66024,0,0,65270,0,0,65536,0,1
development,development-pilot-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,11b86480168b3ebaf7804fd406249ff952cb8d13db49070654e1db28b10a167c,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,a91bd7ed31c78b88c8e42d19af79bd2aea2a2ed24f4e41abd0e8cfbb8ccf2f32,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,fast-v1,fast,1,true,dev-synthetic-periodic,file,65536,5,5,0,0,0,5,complete,true,true,500,0.00762939453125,131.072,65424360,40000000,0.61139306521301851,9900323,0,0,1.0017063980450096,6.6195820075769243,4169728,4169728,3010560,exact,66024,66024,0,0,65524,0,0,65536,0,1
development,development-pilot-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,11b86480168b3ebaf7804fd406249ff952cb8d13db49070654e1db28b10a167c,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,a91bd7ed31c78b88c8e42d19af79bd2aea2a2ed24f4e41abd0e8cfbb8ccf2f32,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,fast-v1,fast,1,true,dev-synthetic-random,file,65536,5,5,0,0,0,5,complete,true,true,66024,1.0074462890625,0.99260874833393919,115858919,50000000,0.43297676801668505,17053195,0,0,0.56565347377356423,3.843033519525227,4546560,4546560,3289088,exact,66024,66024,0,0,0,0,0,65536,0,1
development,development-pilot-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,11b86480168b3ebaf7804fd406249ff952cb8d13db49070654e1db28b10a167c,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,a91bd7ed31c78b88c8e42d19af79bd2aea2a2ed24f4e41abd0e8cfbb8ccf2f32,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,fast-v1,fast,1,true,__aggregate__,corpus,9852681,30,30,0,0,0,5,complete,true,true,9112375,0.92486248159257367,1.0812418277342624,4224349298,4020000000,0.94938977831479687,555321084,410000000,0.74075561072374119,2.3323547142904846,17.742313922300131,22302720,22302720,8216576,exact,9857465,9857465,0,0,745090,0,0,9852681,0,1
development,development-pilot-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,1ff2ceff0d36b2f9ced1d110a9f2113d3faaa5dbf4328bdfec0f120bfce3755e,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,lz4,lz4,,1,false,dev-canterbury-alice29-txt,file,152089,5,5,0,0,0,5,complete,true,true,88718,0.58332949785980581,1.7142969859554995,10938905,0,0,9138250,0,0,13.903493996885429,16.643120947665036,1871872,1740800,1871872,not-applicable,,,,,,,,,,
development,development-pilot-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,1ff2ceff0d36b2f9ced1d110a9f2113d3faaa5dbf4328bdfec0f120bfce3755e,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,lz4,lz4,,1,false,dev-canterbury-kennedy-xls,file,1029744,5,5,0,0,0,5,complete,true,true,374723,0.36389918270948896,2.7480138662425313,17009505,0,0,16834746,0,0,60.53932786403837,61.167777642739608,3051520,2879488,3051520,not-applicable,,,,,,,,,,
development,development-pilot-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,1ff2ceff0d36b2f9ced1d110a9f2113d3faaa5dbf4328bdfec0f120bfce3755e,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,lz4,lz4,,1,false,dev-silesia-x-ray,file,8474240,5,5,0,0,0,5,complete,true,true,8406634,0.99202217543992144,1.0080419820822459,66339802,30000000,0.45221720740137272,66765542,30000000,0.44933357988766121,127.73990492163362,126.92535320090714,9981952,9846784,9981952,not-applicable,,,,,,,,,,
development,development-pilot-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,1ff2ceff0d36b2f9ced1d110a9f2113d3faaa5dbf4328bdfec0f120bfce3755e,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,lz4,lz4,,1,false,dev-synthetic-linear,file,65536,5,5,0,0,0,5,complete,true,true,541,0.0082550048828125,121.13863216266174,8888540,0,0,8980756,0,0,7.373089393758705,7.2973812004245522,1740800,1740800,1740800,not-applicable,,,,,,,,,,
development,development-pilot-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,1ff2ceff0d36b2f9ced1d110a9f2113d3faaa5dbf4328bdfec0f120bfce3755e,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,lz4,lz4,,1,false,dev-synthetic-periodic,file,65536,5,5,0,0,0,5,complete,true,true,292,0.00445556640625,224.43835616438355,8556828,0,0,9049771,0,0,7.6589128588303987,7.2417302051068475,1740800,1740800,1740800,not-applicable,,,,,,,,,,
development,development-pilot-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,1ff2ceff0d36b2f9ced1d110a9f2113d3faaa5dbf4328bdfec0f120bfce3755e,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,lz4,lz4,,1,false,dev-synthetic-random,file,65536,5,5,0,0,0,5,complete,true,true,65555,1.0002899169921875,0.9997101670353139,8761848,0,0,9072826,0,0,7.4797006293649471,7.2233282110777832,1740800,1740800,1740800,not-applicable,,,,,,,,,,
development,development-pilot-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,1ff2ceff0d36b2f9ced1d110a9f2113d3faaa5dbf4328bdfec0f120bfce3755e,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,lz4,lz4,,1,false,__aggregate__,corpus,9852681,30,30,0,0,0,5,complete,true,true,8936463,0.90700825491051629,1.1025257979583198,119609727,30000000,0.25081572170129607,119660374,30000000,0.24704623085641844,82.373576523588255,82.33871139329716,9981952,9846784,9981952,not-applicable,,,,,,,,,,
development,development-pilot-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,264b9bc8095b4cea59244fed3bda782059c28c2834ccb61b1022ae1e33055525,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,b5b163eb273291934556377ab883b4b2a5d4da50bd0dc0a91774ecc234ccd8d0,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,xz-9e,xz-9e,,1,false,dev-canterbury-alice29-txt,file,152089,5,5,0,0,0,5,complete,true,true,48528,0.31907633030659682,3.1340463237718432,165752223,140000000,0.825959311179433,17078138,0,0,0.91756838760467185,8.9054790399281227,30457856,30457856,2015232,not-applicable,,,,,,,,,,
development,development-pilot-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,264b9bc8095b4cea59244fed3bda782059c28c2834ccb61b1022ae1e33055525,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,b5b163eb273291934556377ab883b4b2a5d4da50bd0dc0a91774ecc234ccd8d0,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,xz-9e,xz-9e,,1,false,dev-canterbury-kennedy-xls,file,1029744,5,5,0,0,0,5,complete,true,true,51868,0.050369800649481815,19.853165728387445,2039113091,1980000000,0.97457127031437141,33394828,0,0,0.50499602231232987,30.835433558753468,35307520,35307520,2932736,not-applicable,,,,,,,,,,
development,development-pilot-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,264b9bc8095b4cea59244fed3bda782059c28c2834ccb61b1022ae1e33055525,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,b5b163eb273291934556377ab883b4b2a5d4da50bd0dc0a91774ecc234ccd8d0,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,xz-9e,xz-9e,,1,false,dev-silesia-x-ray,file,8474240,5,5,0,0,0,5,complete,true,true,4491264,0.52999018201042214,1.886827405380757,6604174142,6540000000,0.98961167135481232,518968962,490000000,0.92936151945868684,1.2831642258048743,16.32899194460882,145932288,145932288,10272768,not-applicable,,,,,,,,,,
development,development-pilot-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,264b9bc8095b4cea59244fed3bda782059c28c2834ccb61b1022ae1e33055525,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,b5b163eb273291934556377ab883b4b2a5d4da50bd0dc0a91774ecc234ccd8d0,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,xz-9e,xz-9e,,1,false,dev-synthetic-linear,file,65536,5,5,0,0,0,5,complete,true,true,384,0.005859375,170.66666666666666,17005583,0,0,8867269,0,0,3.8537931925062492,7.3907761228400766,3850240,3850240,1884160,not-applicable,,,,,,,,,,
development,development-pilot-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,264b9bc8095b4cea59244fed3bda782059c28c2834ccb61b1022ae1e33055525,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,b5b163eb273291934556377ab883b4b2a5d4da50bd0dc0a91774ecc234ccd8d0,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,xz-9e,xz-9e,,1,false,dev-synthetic-periodic,file,65536,5,5,0,0,0,5,complete,true,true,148,0.00225830078125,442.81081081081084,12031593,0,0,8906096,0,0,5.446992763136187,7.3585553086335471,2801664,2801664,1884160,not-applicable,,,,,,,,,,
development,development-pilot-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,264b9bc8095b4cea59244fed3bda782059c28c2834ccb61b1022ae1e33055525,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,b5b163eb273291934556377ab883b4b2a5d4da50bd0dc0a91774ecc234ccd8d0,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,xz-9e,xz-9e,,1,false,dev-synthetic-random,file,65536,5,5,0,0,0,5,complete,true,true,65600,1.0009765625,0.99902439024390244,217610667,180000000,0.82716533376555479,8947249,0,0,0.30116170729810776,7.324709528034818,68857856,68857856,1884160,not-applicable,,,,,,,,,,
development,development-pilot-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,264b9bc8095b4cea59244fed3bda782059c28c2834ccb61b1022ae1e33055525,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,b5b163eb273291934556377ab883b4b2a5d4da50bd0dc0a91774ecc234ccd8d0,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,xz-9e,xz-9e,,1,false,__aggregate__,corpus,9852681,30,30,0,0,0,5,complete,true,true,4657792,0.47274361161190542,2.1153115038198358,9048351088,8830000000,0.97838931597201617,597020777,490000000,0.81869229687442746,1.0888924295904818,16.503078920484537,145932288,145932288,10272768,not-applicable,,,,,,,,,,
