evidence_scope,experiment_id,machine_id,architecture,source_commit,config_sha256,dataset_manifest_sha256,randomization_seed,codec_executable_sha256,measurement_method,measurement_tool_sha256,split,codec,codec_config,profile,threads,native_mathsvg,dataset_id,row_scope,original_bytes,scheduled_measured_trials,successful_trials,failed_trials,timeout_trials,unavailable_trials,complete_repetitions,metric_status,roundtrip_all_successes,deterministic_archive_all_successes,archive_bytes_median,archive_fraction_median,compression_ratio_median,compression_wall_ns_median,compression_cpu_ns_median,compression_cpu_wall_fraction_median,decompression_wall_ns_median,decompression_cpu_ns_median,decompression_cpu_wall_fraction_median,compression_throughput_mb_s_median,decompression_throughput_mb_s_median,peak_rss_bytes_median,compression_peak_rss_bytes_median,decompression_peak_rss_bytes_median,procedural_evidence_status,literal_only_archive_bytes_median,pre_entropy_archive_bytes_median,procedural_gain_before_entropy_bytes_median,procedural_penalty_before_entropy_bytes_median,entropy_gain_bytes_median,entropy_penalty_bytes_median,function_reconstructed_bytes_median,literal_reconstructed_bytes_median,procedural_coverage_median,literal_fraction_median
development,development-pilot-v2-retry,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,036664ca0567442e358e36e2564fb5b50a5e75619d748ddd5a2fd387db06179b,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,81128211b782e3a4331d1c5fcd6db21eecf78dc823faab718e7ebe3f2ceeeee8,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,fast-ablation-no-whole-block-entropy-v1,fast,1,true,dev-canterbury-alice29-txt,file,152089,10,10,0,0,0,10,complete,true,true,152577,1.0032086475682003,0.99680161492230157,419275913.5,365000000,0.87097952692425484,17142683.5,0,0,0.36274232990804356,8.8719741740897433,5939200,5939200,3598336,exact,152577,152577,0,0,0,0,0,152089,0,1
development,development-pilot-v2-retry,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,036664ca0567442e358e36e2564fb5b50a5e75619d748ddd5a2fd387db06179b,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,81128211b782e3a4331d1c5fcd6db21eecf78dc823faab718e7ebe3f2ceeeee8,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,fast-ablation-no-whole-block-entropy-v1,fast,1,true,dev-canterbury-kennedy-xls,file,1029744,10,10,0,0,0,10,complete,true,true,1030232,1.0004739041936637,0.99952632028513966,670283873,610000000,0.91664491589184882,67919407.5,40000000,0.58377876503276305,1.5362806202361077,15.161377734283034,19709952,19709952,7012352,exact,1030232,1030232,0,0,0,0,0,1029744,0,1
development,development-pilot-v2-retry,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,036664ca0567442e358e36e2564fb5b50a5e75619d748ddd5a2fd387db06179b,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,81128211b782e3a4331d1c5fcd6db21eecf78dc823faab718e7ebe3f2ceeeee8,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,fast-ablation-no-whole-block-entropy-v1,fast,1,true,dev-silesia-x-ray,file,8474240,10,10,0,0,0,10,complete,true,true,8476584,1.0002766029756061,0.99972347351244317,5244017753.5,5190000000,0.99158817500562524,417883895.5,360000000,0.85972060780285564,1.6159831784800105,20.278940767240449,23982080,23982080,8241152,exact,8476584,8476584,0,0,0,0,0,8474240,0,1
development,development-pilot-v2-retry,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,036664ca0567442e358e36e2564fb5b50a5e75619d748ddd5a2fd387db06179b,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,81128211b782e3a4331d1c5fcd6db21eecf78dc823faab718e7ebe3f2ceeeee8,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,fast-ablation-no-whole-block-entropy-v1,fast,1,true,dev-synthetic-constant-00,file,65536,10,10,0,0,0,10,complete,true,true,485,0.0074005126953125,135.12577319587629,166842048,120000000,0.71490940142605874,9561188,0,0,0.39280275989039548,6.8822784915174076,4708352,4708352,3119104,exact,66024,485,65539,0,0,0,65536,0,1,0
development,development-pilot-v2-retry,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,036664ca0567442e358e36e2564fb5b50a5e75619d748ddd5a2fd387db06179b,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,81128211b782e3a4331d1c5fcd6db21eecf78dc823faab718e7ebe3f2ceeeee8,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,fast-ablation-no-whole-block-entropy-v1,fast,1,true,dev-synthetic-lfsr8,file,65536,10,10,0,0,0,10,complete,true,true,66024,1.0074462890625,0.99260874833393919,165728269.5,115000000,0.69060947829006247,17158191,0,0,0.39544258939747962,3.8195328448167016,5341184,5341184,3338240,exact,66024,66024,0,0,0,0,0,65536,0,1
development,development-pilot-v2-retry,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,036664ca0567442e358e36e2564fb5b50a5e75619d748ddd5a2fd387db06179b,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,81128211b782e3a4331d1c5fcd6db21eecf78dc823faab718e7ebe3f2ceeeee8,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,fast-ablation-no-whole-block-entropy-v1,fast,1,true,dev-synthetic-linear,file,65536,10,10,0,0,0,10,complete,true,true,489,0.0074615478515625,134.02044989775052,165902136,130000000,0.78445248497654085,17043044,0,0,0.39502830956001811,3.8453227911569061,5273600,5273600,3166208,exact,66024,489,65535,0,0,0,65536,0,1,0
development,development-pilot-v2-retry,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,036664ca0567442e358e36e2564fb5b50a5e75619d748ddd5a2fd387db06179b,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,81128211b782e3a4331d1c5fcd6db21eecf78dc823faab718e7ebe3f2ceeeee8,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,fast-ablation-no-whole-block-entropy-v1,fast,1,true,dev-synthetic-periodic,file,65536,10,10,0,0,0,10,complete,true,true,66024,1.0074462890625,0.99260874833393919,116370466.5,90000000,0.77940143445191712,16944687,0,0,0.56316827943650216,3.8676536114728357,4976640,4976640,3358720,exact,66024,66024,0,0,0,0,0,65536,0,1
development,development-pilot-v2-retry,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,036664ca0567442e358e36e2564fb5b50a5e75619d748ddd5a2fd387db06179b,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,81128211b782e3a4331d1c5fcd6db21eecf78dc823faab718e7ebe3f2ceeeee8,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,fast-ablation-no-whole-block-entropy-v1,fast,1,true,dev-synthetic-piecewise-mixed,file,65536,10,10,0,0,0,10,complete,true,true,66024,1.0074462890625,0.99260874833393919,166678688,110000000,0.66188459225072693,17176106.5,0,0,0.39318854976400913,3.8155391474164562,4939776,4939776,3287040,exact,66024,66024,0,0,0,0,0,65536,0,1
development,development-pilot-v2-retry,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,036664ca0567442e358e36e2564fb5b50a5e75619d748ddd5a2fd387db06179b,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,81128211b782e3a4331d1c5fcd6db21eecf78dc823faab718e7ebe3f2ceeeee8,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,fast-ablation-no-whole-block-entropy-v1,fast,1,true,dev-synthetic-polynomial-d2,file,65536,10,10,0,0,0,10,complete,true,true,66024,1.0074462890625,0.99260874833393919,165745794.5,110000000,0.65663857694576211,17733859.5,0,0,0.39540068954980834,3.6963117527159977,5353472,5353472,3348480,exact,66024,66024,0,0,0,0,0,65536,0,1
development,development-pilot-v2-retry,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,036664ca0567442e358e36e2564fb5b50a5e75619d748ddd5a2fd387db06179b,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,81128211b782e3a4331d1c5fcd6db21eecf78dc823faab718e7ebe3f2ceeeee8,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,fast-ablation-no-whole-block-entropy-v1,fast,1,true,dev-synthetic-random,file,65536,10,10,0,0,0,10,complete,true,true,66024,1.0074462890625,0.99260874833393919,167204913,130000000,0.77732081051449498,17139915,0,0,0.39195021397031155,3.8235951975856546,5345280,5345280,3330048,exact,66024,66024,0,0,0,0,0,65536,0,1
