experiment_id,machine_id,architecture,source_commit,config_sha256,dataset_manifest_sha256,randomization_seed,codec_executable_sha256,measurement_method,measurement_tool_sha256,split,codec,codec_config,profile,threads,dataset_id,row_scope,original_bytes,scheduled_trials,successful_trials,status,literal_only_archive_bytes_median,pre_entropy_archive_bytes_median,entropy_saved_bytes_median,entropy_penalty_bytes_median,procedural_gain_bytes_median,procedural_penalty_bytes_median,container_overhead_bytes_median,function_graph_bytes_median,coordinate_bytes_median,shared_definition_bytes_median,reference_bytes_median,parameter_bytes_median,residual_layer_bytes_median,literal_leaf_bytes_median,entropy_metadata_bytes_median,index_bytes_median,node_count_median,shared_node_count_median,residual_depth_sum_median,residual_root_count_median,function_reconstructed_bytes_median,literal_reconstructed_bytes_median,coordinate_saved_bytes_median,dag_saved_bytes_median,recursive_residual_saved_bytes_median,symbolic_saved_bytes_median,search_ns_median,archive_bytes_median,procedural_coverage,literal_fraction,procedural_gain_before_entropy_bytes,procedural_gain_bytes,entropy_coder_gain_bytes,entropy_coder_penalty_bytes,procedural_penalty_bytes,average_residual_depth,search_time_per_saved_byte_ns,time_per_saved_byte_basis
development-pilot-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,11b86480168b3ebaf7804fd406249ff952cb8d13db49070654e1db28b10a167c,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,a91bd7ed31c78b88c8e42d19af79bd2aea2a2ed24f4e41abd0e8cfbb8ccf2f32,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,fast-v1,fast,1,dev-canterbury-alice29-txt,file,152089,5,5,complete,152577,152577,40162,0,40162,0,472,8,0,0,0,0,0,111921,14,,2,0,0,0,0,152089,,,,,,112415,0,1,0,40162,40162,0,0,,4136.487923908172,compression_wall_ns
development-pilot-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,11b86480168b3ebaf7804fd406249ff952cb8d13db49070654e1db28b10a167c,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,a91bd7ed31c78b88c8e42d19af79bd2aea2a2ed24f4e41abd0e8cfbb8ccf2f32,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,fast-v1,fast,1,dev-canterbury-kennedy-xls,file,1029744,5,5,complete,1030232,1030232,572369,0,572369,0,472,8,0,0,0,0,0,457369,14,,2,0,0,0,0,1029744,,,,,,457863,0,1,0,572369,572369,0,0,,733.61678218072609,compression_wall_ns
development-pilot-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,11b86480168b3ebaf7804fd406249ff952cb8d13db49070654e1db28b10a167c,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,a91bd7ed31c78b88c8e42d19af79bd2aea2a2ed24f4e41abd0e8cfbb8ccf2f32,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,fast-v1,fast,1,dev-silesia-x-ray,file,8474240,5,5,complete,8476584,8476584,1765,0,1765,0,2200,72,0,0,0,0,0,8472533,14,,18,0,0,0,0,8474240,,,,,,8474819,0,1,0,1765,1765,0,0,,1920662.1733711048,compression_wall_ns
development-pilot-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,11b86480168b3ebaf7804fd406249ff952cb8d13db49070654e1db28b10a167c,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,a91bd7ed31c78b88c8e42d19af79bd2aea2a2ed24f4e41abd0e8cfbb8ccf2f32,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,fast-v1,fast,1,dev-synthetic-linear,file,65536,5,5,complete,66024,66024,65270,0,65270,0,472,7,0,0,0,0,0,263,12,,2,0,0,0,0,65536,,,,,,754,0,1,0,65270,65270,0,0,,1024.3036157499616,compression_wall_ns
development-pilot-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,11b86480168b3ebaf7804fd406249ff952cb8d13db49070654e1db28b10a167c,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,a91bd7ed31c78b88c8e42d19af79bd2aea2a2ed24f4e41abd0e8cfbb8ccf2f32,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,fast-v1,fast,1,dev-synthetic-periodic,file,65536,5,5,complete,66024,66024,65524,0,65524,0,472,6,0,0,0,0,0,12,10,,2,0,0,0,0,65536,,,,,,500,0,1,0,65524,65524,0,0,,998.47933581588427,compression_wall_ns
development-pilot-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,11b86480168b3ebaf7804fd406249ff952cb8d13db49070654e1db28b10a167c,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,a91bd7ed31c78b88c8e42d19af79bd2aea2a2ed24f4e41abd0e8cfbb8ccf2f32,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,fast-v1,fast,1,dev-synthetic-random,file,65536,5,5,complete,66024,66024,0,0,0,0,472,8,0,0,0,0,0,65544,0,,2,0,0,0,0,65536,,,,,,66024,0,1,0,0,0,0,0,,,compression_wall_ns
development-pilot-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,11b86480168b3ebaf7804fd406249ff952cb8d13db49070654e1db28b10a167c,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,a91bd7ed31c78b88c8e42d19af79bd2aea2a2ed24f4e41abd0e8cfbb8ccf2f32,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,fast-v1,fast,1,__aggregate__,corpus,9852681,30,30,complete,9857465,9857465,745090,0,745090,0,4560,109,0,0,0,0,0,9107642,64,,28,0,0,0,0,9852681,,,,,,9112375,0,1,0,745090,745090,0,0,,5669.2982646391711,compression_wall_ns
development-pilot-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,868158562c5b878e5e45fdc62613fcc2efdf1ddc8def7e218346fe551ff82cb7,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,a91bd7ed31c78b88c8e42d19af79bd2aea2a2ed24f4e41abd0e8cfbb8ccf2f32,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-v1,balanced,1,dev-canterbury-alice29-txt,file,152089,5,5,complete,152577,152577,40162,0,40162,0,472,8,0,0,0,0,0,111921,14,,2,0,0,0,0,152089,,,,,,112415,0,1,0,40162,40162,0,0,,10434.139808774464,compression_wall_ns
development-pilot-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,868158562c5b878e5e45fdc62613fcc2efdf1ddc8def7e218346fe551ff82cb7,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,a91bd7ed31c78b88c8e42d19af79bd2aea2a2ed24f4e41abd0e8cfbb8ccf2f32,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-v1,balanced,1,dev-canterbury-kennedy-xls,file,1029744,5,5,complete,1030232,1030232,572369,0,572369,0,472,8,0,0,0,0,0,457369,14,,2,0,0,0,0,1029744,,,,,,457863,0,1,0,572369,572369,0,0,,1089.0885792207475,compression_wall_ns
development-pilot-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,868158562c5b878e5e45fdc62613fcc2efdf1ddc8def7e218346fe551ff82cb7,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,a91bd7ed31c78b88c8e42d19af79bd2aea2a2ed24f4e41abd0e8cfbb8ccf2f32,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-v1,balanced,1,dev-silesia-x-ray,file,8474240,5,5,complete,8476584,8476584,1765,0,1765,0,2200,72,0,0,0,0,0,8472533,14,,18,0,0,0,0,8474240,,,,,,8474819,0,1,0,1765,1765,0,0,,2724810.6968838526,compression_wall_ns
development-pilot-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,868158562c5b878e5e45fdc62613fcc2efdf1ddc8def7e218346fe551ff82cb7,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,a91bd7ed31c78b88c8e42d19af79bd2aea2a2ed24f4e41abd0e8cfbb8ccf2f32,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-v1,balanced,1,dev-synthetic-linear,file,65536,5,5,complete,66024,66024,65270,0,65270,0,472,7,0,0,0,0,0,263,12,,2,0,0,0,0,65536,,,,,,754,0,1,0,65270,65270,0,0,,2544.031821663858,compression_wall_ns
development-pilot-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,868158562c5b878e5e45fdc62613fcc2efdf1ddc8def7e218346fe551ff82cb7,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,a91bd7ed31c78b88c8e42d19af79bd2aea2a2ed24f4e41abd0e8cfbb8ccf2f32,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-v1,balanced,1,dev-synthetic-periodic,file,65536,5,5,complete,66024,66024,65524,0,65524,0,472,6,0,0,0,0,0,12,10,,2,0,0,0,0,65536,,,,,,500,0,1,0,65524,65524,0,0,,2526.1885416030768,compression_wall_ns
development-pilot-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,868158562c5b878e5e45fdc62613fcc2efdf1ddc8def7e218346fe551ff82cb7,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,a91bd7ed31c78b88c8e42d19af79bd2aea2a2ed24f4e41abd0e8cfbb8ccf2f32,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-v1,balanced,1,dev-synthetic-random,file,65536,5,5,complete,66024,66024,0,0,0,0,472,8,0,0,0,0,0,65544,0,,2,0,0,0,0,65536,,,,,,66024,0,1,0,0,0,0,0,,,compression_wall_ns
development-pilot-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,868158562c5b878e5e45fdc62613fcc2efdf1ddc8def7e218346fe551ff82cb7,b1d7dba75560d44d8e234e4205e09487f93678fb8688cac6a0905486c969c2ca,1297748005,a91bd7ed31c78b88c8e42d19af79bd2aea2a2ed24f4e41abd0e8cfbb8ccf2f32,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-v1,balanced,1,__aggregate__,corpus,9852681,30,30,complete,9857465,9857465,745090,0,745090,0,4560,109,0,0,0,0,0,9107642,64,,28,0,0,0,0,9852681,,,,,,9112375,0,1,0,745090,745090,0,0,,8454.7477620153277,compression_wall_ns
